,file_name,class,size
0,0.txt,car,14352
1,0.txt,car,684
2,0.txt,tru,1845
3,0.txt,tru,320
4,1.txt,car,29606
5,1.txt,car,1026
6,1.txt,car,210
7,1.txt,tru,2397
8,10.txt,car,1247
9,10.txt,tru,56510
10,100.txt,car,18810
11,100.txt,car,233
12,1000.txt,car,1440
13,1000.txt,tru,12900
14,1000.txt,car,2106
15,1000.txt,car,558
16,1000.txt,car,1254
17,1000.txt,car,475
18,1000.txt,car,700
19,1000.txt,car,1240
20,1000.txt,car,4420
21,1000.txt,car,10366
22,1000.txt,car,4794
23,1000.txt,car,4032
24,1000.txt,car,930
25,1000.txt,car,1148
26,1000.txt,car,765
27,1000.txt,car,350
28,1000.txt,tru,2014
29,1000.txt,car,1554
30,10000.txt,per,1536
31,10000.txt,per,2581
32,10000.txt,per,644
33,10000.txt,tru,28724
34,10000.txt,per,510
35,10000.txt,car,420
36,10000.txt,car,1118
37,10000.txt,car,40796
38,10000.txt,per,18020
39,10001.txt,per,900
40,10001.txt,tru,24192
41,10001.txt,per,7181
42,10001.txt,car,18348
43,10001.txt,per,1794
44,10001.txt,per,250
45,10001.txt,per,2324
46,10001.txt,bus,16244
47,10001.txt,car,864
48,10001.txt,bus,360
49,10001.txt,per,494
50,10002.txt,per,3074
51,10002.txt,per,3444
52,10002.txt,per,1443
53,10002.txt,car,11514
54,10002.txt,tru,20886
55,10002.txt,per,987
56,10002.txt,per,408
57,10002.txt,per,1102
58,10002.txt,per,442
59,10002.txt,bus,5828
60,10002.txt,bus,272
61,10003.txt,bus,1776
62,10003.txt,tru,7937
63,10003.txt,per,540
64,10003.txt,car,1188
65,10003.txt,per,224
66,10003.txt,per,473
67,10003.txt,per,264
68,10003.txt,tru,14536
69,10003.txt,per,868
70,10003.txt,car,7597
71,10003.txt,per,2552
72,10003.txt,per,4576
73,10003.txt,per,311
74,10004.txt,tru,1590
75,10004.txt,car,1012
76,10004.txt,tru,10234
77,10004.txt,bus,700
78,10004.txt,per,230
79,10004.txt,tru,9348
80,10004.txt,per,410
81,10004.txt,car,5000
82,10004.txt,per,2000
83,10004.txt,per,1007
84,10004.txt,per,990
85,10004.txt,per,2112
86,10005.txt,car,5043
87,10005.txt,per,440
88,10005.txt,per,612
89,10005.txt,car,2590
90,10005.txt,per,161
91,10005.txt,tru,5022
92,10005.txt,bus,399
93,10005.txt,car,96
94,10005.txt,tru,572
95,10005.txt,tru,11571
96,10005.txt,per,552
97,10005.txt,per,184
98,10006.txt,car,850
99,10006.txt,per,736
100,10006.txt,car,7638
101,10006.txt,tru,2350
102,10006.txt,per,114
103,10006.txt,per,68
104,10006.txt,per,279
105,10006.txt,per,306
106,10006.txt,car,4400
107,10006.txt,per,1344
108,10007.txt,tru,31675
109,10007.txt,tru,2214
110,10007.txt,car,1008
111,10007.txt,tru,1404
112,10007.txt,car,1920
113,10007.txt,per,1640
114,10007.txt,per,2697
115,10007.txt,per,1750
116,10007.txt,per,734
117,10007.txt,per,1380
118,10008.txt,per,1520
119,10008.txt,per,1488
120,10008.txt,per,760
121,10008.txt,per,640
122,10008.txt,per,799
123,10008.txt,per,576
124,10008.txt,per,310
125,10008.txt,tru,1156
126,10008.txt,tru,1326
127,10008.txt,tru,15708
128,10008.txt,car,3486
129,10008.txt,per,415
130,10008.txt,per,1428
131,10009.txt,per,960
132,10009.txt,tru,5220
133,10009.txt,tru,837
134,10009.txt,tru,924
135,10009.txt,per,232
136,10009.txt,per,300
137,10009.txt,per,240
138,10009.txt,per,207
139,10009.txt,per,468
140,10009.txt,per,385
141,10009.txt,per,418
142,10009.txt,car,2184
143,10009.txt,car,1081
144,10009.txt,car,768
145,10009.txt,car,2790
146,1001.txt,car,3990
147,1001.txt,car,1296
148,1001.txt,car,609
149,1001.txt,tru,9620
150,1001.txt,car,1596
151,1001.txt,car,364
152,1001.txt,car,930
153,1001.txt,car,396
154,1001.txt,car,594
155,1001.txt,car,336
156,1001.txt,car,4359
157,1001.txt,tru,1959
158,1001.txt,car,1520
159,1001.txt,car,4560
160,1001.txt,car,8680
161,1001.txt,car,3212
162,1001.txt,car,3145
163,1001.txt,car,623
164,1001.txt,car,875
165,1001.txt,car,748
166,1001.txt,car,308
167,10010.txt,per,330
168,10010.txt,tru,2160
169,10010.txt,tru,441
170,10010.txt,tru,775
171,10010.txt,per,154
172,10010.txt,per,115
173,10010.txt,per,120
174,10010.txt,car,608
175,10010.txt,per,480
176,10010.txt,car,576
177,10011.txt,tru,12480
178,10011.txt,per,221
179,10011.txt,tru,693
180,10011.txt,tru,306
181,10011.txt,tru,621
182,10011.txt,per,140
183,10012.txt,per,2523
184,10012.txt,per,1148
185,10012.txt,per,494
186,10012.txt,tru,440
187,10012.txt,tru,345
188,10012.txt,tru,8820
189,10012.txt,car,108
190,10012.txt,per,350
191,10012.txt,per,804
192,10013.txt,per,650
193,10013.txt,per,405
194,10013.txt,tru,399
195,10013.txt,car,3696
196,10013.txt,per,972
197,10013.txt,per,910
198,10013.txt,per,720
199,10013.txt,per,500
200,10013.txt,per,484
201,10013.txt,per,280
202,10013.txt,per,387
203,10013.txt,per,396
204,10013.txt,car,132
205,10014.txt,cyc,3528
206,10014.txt,car,176
207,10014.txt,tru,324
208,10014.txt,car,308
209,10014.txt,tru,975
210,10014.txt,per,912
211,10014.txt,per,564
212,10014.txt,per,285
213,10014.txt,per,216
214,10014.txt,per,210
215,10014.txt,per,192
216,10014.txt,per,144
217,10015.txt,mot,484
218,10015.txt,mot,1363
219,10015.txt,per,1260
220,10015.txt,per,810
221,10015.txt,per,429
222,10015.txt,car,19425
223,10015.txt,tru,494
224,10015.txt,car,220
225,10015.txt,tru,256
226,10015.txt,cyc,352
227,10015.txt,per,299
228,10016.txt,per,1216
229,10016.txt,car,621
230,10016.txt,tru,225
231,10016.txt,car,266
232,10016.txt,tru,306
233,10016.txt,car,3800
234,10016.txt,per,344
235,10016.txt,per,506
236,10017.txt,tru,306
237,10017.txt,car,391
238,10017.txt,car,576
239,10017.txt,per,145
240,10017.txt,car,29754
241,10018.txt,per,1056
242,10018.txt,per,405
243,10018.txt,car,1484
244,10018.txt,car,180
245,10018.txt,car,567
246,10018.txt,tru,289
247,10019.txt,per,416
248,1002.txt,car,5658
249,1002.txt,car,4000
250,1002.txt,car,5750
251,1002.txt,car,650
252,1002.txt,car,2144
253,1002.txt,car,396
254,1002.txt,car,660
