,file_name,class,detect_tf,size,iou_tf,class_tf,iou,conf
0,0000.txt,car,False,5544,-1,-1,-1.0,-1.0
1,0000.txt,car,False,150,-1,-1,-1.0,-1.0
2,0000.txt,car,False,140,-1,-1,-1.0,-1.0
3,0001.txt,car,False,8308,-1,-1,-1.0,-1.0
4,0001.txt,car,False,130,-1,-1,-1.0,-1.0
5,0001.txt,car,False,216,-1,-1,-1.0,-1.0
6,0002.txt,car,False,252,-1,-1,-1.0,-1.0
7,0002.txt,car,True,16198,True,1,0.9727957250425067,0.880797
8,0002.txt,car,True,16198,True,1,0.9727957250425067,0.880797
9,0003.txt,car,False,456,-1,-1,-1.0,-1.0
10,0003.txt,car,True,53573,True,1,0.9819311966848973,0.010987
11,0003.txt,car,True,53573,True,1,0.9819311966848973,0.010987
12,0004.txt,car,False,572,-1,-1,-1.0,-1.0
13,0004.txt,car,True,58065,True,1,0.9057228819255513,0.731059
14,0004.txt,car,True,58065,True,1,0.9057228819255513,0.731059
15,0005.txt,car,False,792,-1,-1,-1.0,-1.0
16,0005.txt,car,False,210,-1,-1,-1.0,-1.0
17,0005.txt,car,False,150,-1,-1,-1.0,-1.0
18,0006.txt,car,False,1092,-1,-1,-1.0,-1.0
19,0006.txt,car,False,323,-1,-1,-1.0,-1.0
20,0006.txt,car,False,300,-1,-1,-1.0,-1.0
21,0007.txt,car,False,408,-1,-1,-1.0,-1.0
22,0007.txt,car,False,342,-1,-1,-1.0,-1.0
23,0007.txt,car,False,1320,-1,-1,-1.0,-1.0
24,0008.txt,car,False,567,-1,-1,-1.0,-1.0
25,0008.txt,car,False,380,-1,-1,-1.0,-1.0
26,0008.txt,car,False,1750,-1,-1,-1.0,-1.0
27,0009.txt,car,False,736,-1,-1,-1.0,-1.0
28,0009.txt,car,False,400,-1,-1,-1.0,-1.0
29,0009.txt,car,False,2090,-1,-1,-1.0,-1.0
30,0010.txt,car,False,1000,-1,-1,-1.0,-1.0
31,0010.txt,car,False,380,-1,-1,-1.0,-1.0
32,0010.txt,car,False,234,-1,-1,-1.0,-1.0
33,0010.txt,car,False,2145,-1,-1,-1.0,-1.0
34,0011.txt,car,False,1450,-1,-1,-1.0,-1.0
35,0011.txt,car,False,170,-1,-1,-1.0,-1.0
36,0011.txt,car,False,323,-1,-1,-1.0,-1.0
37,0011.txt,car,False,234,-1,-1,-1.0,-1.0
38,0011.txt,car,False,2255,-1,-1,-1.0,-1.0
39,0012.txt,car,False,2520,-1,-1,-1.0,-1.0
40,0012.txt,car,False,234,-1,-1,-1.0,-1.0
41,0012.txt,car,False,323,-1,-1,-1.0,-1.0
42,0012.txt,car,False,2365,-1,-1,-1.0,-1.0
43,0013.txt,car,False,280,-1,-1,-1.0,-1.0
44,0013.txt,car,False,4998,-1,-1,-1.0,-1.0
45,0013.txt,car,False,360,-1,-1,-1.0,-1.0
46,0013.txt,car,False,2365,-1,-1,-1.0,-1.0
47,0014.txt,car,False,12580,-1,-1,-1.0,-1.0
48,0014.txt,car,False,360,-1,-1,-1.0,-1.0
49,0014.txt,car,False,399,-1,-1,-1.0,-1.0
50,0014.txt,car,False,2376,-1,-1,-1.0,-1.0
51,0015.txt,car,True,30378,True,1,0.9879187618363482,0.880797
52,0015.txt,car,True,30378,True,1,0.9879187618363482,0.880797
53,0015.txt,car,True,30378,True,1,0.9879187618363482,0.880797
54,0015.txt,car,True,30378,True,1,0.9879187618363482,0.880797
55,0016.txt,car,False,700,-1,-1,-1.0,-1.0
56,0016.txt,car,False,520,-1,-1,-1.0,-1.0
57,0016.txt,car,False,1872,-1,-1,-1.0,-1.0
58,0017.txt,car,False,989,-1,-1,-1.0,-1.0
59,0017.txt,car,False,588,-1,-1,-1.0,-1.0
60,0017.txt,car,False,1584,-1,-1,-1.0,-1.0
61,0018.txt,car,False,1404,-1,-1,-1.0,-1.0
62,0018.txt,car,False,690,-1,-1,-1.0,-1.0
63,0018.txt,car,False,1240,-1,-1,-1.0,-1.0
64,0019.txt,car,False,2345,-1,-1,-1.0,-1.0
65,0019.txt,car,False,768,-1,-1,-1.0,-1.0
66,0019.txt,car,False,1073,-1,-1,-1.0,-1.0
67,0020.txt,car,False,3999,-1,-1,-1.0,-1.0
68,0020.txt,car,False,884,-1,-1,-1.0,-1.0
69,0020.txt,car,False,1015,-1,-1,-1.0,-1.0
70,0021.txt,car,False,8723,-1,-1,-1.0,-1.0
71,0021.txt,car,False,1064,-1,-1,-1.0,-1.0
72,0021.txt,car,False,952,-1,-1,-1.0,-1.0
73,0022.txt,car,True,22932,True,1,0.9614919702987395,0.182426
74,0022.txt,car,True,22932,True,1,0.9614919702987395,0.182426
75,0022.txt,car,True,22932,True,1,0.9614919702987395,0.182426
76,0023.txt,car,True,18768,True,1,0.9114219114219114,0.268941
77,0023.txt,car,True,18768,True,1,0.9114219114219114,0.268941
78,0023.txt,car,True,18768,True,1,0.9114219114219114,0.268941
79,0024.txt,car,False,2052,-1,-1,-1.0,-1.0
80,0024.txt,car,False,1178,-1,-1,-1.0,-1.0
81,0025.txt,car,False,2562,-1,-1,-1.0,-1.0
82,0025.txt,car,False,1209,-1,-1,-1.0,-1.0
83,0026.txt,car,False,3174,-1,-1,-1.0,-1.0
84,0026.txt,car,False,1312,-1,-1,-1.0,-1.0
85,0027.txt,car,False,4029,-1,-1,-1.0,-1.0
86,0027.txt,car,False,1505,-1,-1,-1.0,-1.0
87,0028.txt,car,False,4840,-1,-1,-1.0,-1.0
88,0028.txt,car,False,1584,-1,-1,-1.0,-1.0
89,0029.txt,car,False,5820,-1,-1,-1.0,-1.0
90,0029.txt,car,False,1548,-1,-1,-1.0,-1.0
91,0030.txt,car,False,6489,-1,-1,-1.0,-1.0
92,0030.txt,car,False,1280,-1,-1,-1.0,-1.0
93,0031.txt,car,False,6448,-1,-1,-1.0,-1.0
94,0031.txt,car,False,1140,-1,-1,-1.0,-1.0
95,0032.txt,car,False,5900,-1,-1,-1.0,-1.0
96,0032.txt,car,False,980,-1,-1,-1.0,-1.0
97,0033.txt,car,False,5346,-1,-1,-1.0,-1.0
98,0033.txt,car,False,800,-1,-1,-1.0,-1.0
99,0034.txt,car,False,5247,-1,-1,-1.0,-1.0
100,0034.txt,car,False,750,-1,-1,-1.0,-1.0
101,0035.txt,car,False,5824,-1,-1,-1.0,-1.0
102,0035.txt,car,False,750,-1,-1,-1.0,-1.0
103,0036.txt,car,False,7137,-1,-1,-1.0,-1.0
104,0036.txt,car,False,750,-1,-1,-1.0,-1.0
105,0037.txt,car,False,10360,-1,-1,-1.0,-1.0
106,0037.txt,car,False,672,-1,-1,-1.0,-1.0
107,0038.txt,car,True,16435,True,1,0.9632082856626724,0.731059
108,0038.txt,car,True,16435,True,1,0.9632082856626724,0.731059
109,0039.txt,car,True,15260,True,1,0.7963678112931845,0.731059
110,0039.txt,car,True,15260,True,1,0.7963678112931845,0.731059
111,0040.txt,car,False,621,-1,-1,-1.0,-1.0
112,0041.txt,car,False,572,-1,-1,-1.0,-1.0
113,0041.txt,car,False,1888,-1,-1,-1.0,-1.0
114,0042.txt,car,False,4802,-1,-1,-1.0,-1.0
115,0042.txt,car,False,594,-1,-1,-1.0,-1.0
116,0042.txt,car,False,221,-1,-1,-1.0,-1.0
117,0043.txt,car,False,10823,-1,-1,-1.0,-1.0
118,0043.txt,car,False,621,-1,-1,-1.0,-1.0
119,0043.txt,car,False,352,-1,-1,-1.0,-1.0
120,0044.txt,car,False,792,-1,-1,-1.0,-1.0
121,0044.txt,car,False,600,-1,-1,-1.0,-1.0
122,0044.txt,car,False,682,-1,-1,-1.0,-1.0
123,0044.txt,car,False,550,-1,-1,-1.0,-1.0
124,0044.txt,car,False,153,-1,-1,-1.0,-1.0
125,0044.txt,car,False,136,-1,-1,-1.0,-1.0
126,0045.txt,car,False,1161,-1,-1,-1.0,-1.0
127,0045.txt,car,False,378,-1,-1,-1.0,-1.0
128,0045.txt,car,False,400,-1,-1,-1.0,-1.0
129,0045.txt,car,False,621,-1,-1,-1.0,-1.0
130,0045.txt,car,False,288,-1,-1,-1.0,-1.0
131,0046.txt,car,False,2418,-1,-1,-1.0,-1.0
132,0046.txt,car,False,612,-1,-1,-1.0,-1.0
133,0046.txt,car,False,680,-1,-1,-1.0,-1.0
134,0046.txt,car,False,621,-1,-1,-1.0,-1.0
