,file_name,class,detect_tf,size,iou_tf,class_tf,iou,conf
0,0000.txt,car,True,5544,True,1,0.8986291486291487,0.731059
1,0000.txt,car,True,5544,True,1,0.8986291486291487,0.731059
2,0000.txt,car,True,5544,True,1,0.8986291486291487,0.731059
3,0001.txt,car,True,8308,True,1,0.9462085308056872,0.817575
4,0001.txt,car,True,130,True,1,0.5803571428571429,0.622459
5,0001.txt,car,True,216,True,1,0.72,0.731059
6,0002.txt,car,True,252,True,1,0.7058823529411765,0.731059
7,0002.txt,car,True,16198,True,1,0.9780206286836935,0.075858
8,0002.txt,car,True,156,True,1,0.5473684210526316,0.731059
9,0003.txt,car,True,456,True,1,0.7456140350877193,0.5
10,0003.txt,car,True,53573,True,1,0.9729171659814532,0.924142
11,0003.txt,car,True,156,True,1,0.5777777777777777,0.731059
12,0004.txt,car,True,572,True,1,0.8741258741258742,0.817575
13,0004.txt,car,True,58065,True,1,0.9209206020546309,0.880797
14,0004.txt,car,True,168,True,1,0.680161943319838,0.731059
15,0005.txt,car,True,792,True,1,0.8080808080808081,0.731059
16,0005.txt,car,True,210,True,1,0.7,0.622459
17,0005.txt,car,True,150,True,1,0.8021390374331551,0.622459
18,0006.txt,car,True,1092,True,1,0.8222222222222222,0.006693
19,0006.txt,car,True,323,True,1,0.8359133126934984,0.622459
20,0006.txt,car,True,300,True,1,0.7579617834394905,0.5
21,0007.txt,car,True,408,True,1,0.5857740585774058,0.182426
22,0007.txt,car,True,342,True,1,0.7983193277310925,0.731059
23,0007.txt,car,True,1320,True,1,0.8285714285714286,0.017986
24,0008.txt,car,True,567,True,1,0.7795414462081128,0.731059
25,0008.txt,car,True,380,True,1,0.9047619047619048,0.817575
26,0008.txt,car,True,1750,True,1,0.9607843137254902,0.377541
27,0009.txt,car,True,736,True,1,0.9375,0.817575
28,0009.txt,car,True,400,True,1,0.6175213675213675,0.075858
29,0009.txt,car,True,2090,True,1,0.957089552238806,0.731059
30,0010.txt,car,True,1000,True,1,0.888,0.817575
31,0010.txt,car,True,380,True,1,0.7099767981438515,0.5
32,0010.txt,car,True,234,True,1,0.6666666666666666,0.119203
33,0010.txt,car,True,2145,True,1,0.8647281921618205,0.817575
34,0011.txt,car,True,1450,True,1,0.8395657418576599,0.001501
35,0011.txt,car,True,170,True,1,0.7920792079207921,0.377541
36,0011.txt,car,True,323,True,1,0.6929347826086957,0.119203
37,0011.txt,car,True,234,True,1,0.7809187279151943,0.182426
38,0011.txt,car,True,2255,True,1,0.868300789364354,0.731059
39,0012.txt,car,True,2520,True,1,0.9187935034802784,0.268941
40,0012.txt,car,True,234,True,1,0.7428571428571429,0.268941
41,0012.txt,car,True,323,True,1,0.7917888563049853,0.622459
42,0012.txt,car,True,2365,True,1,0.9152542372881356,0.731059
43,0013.txt,car,True,280,True,1,0.6631578947368421,0.182426
44,0013.txt,car,True,4998,True,1,0.9145496535796767,0.731059
45,0013.txt,car,True,360,True,1,0.8,0.731059
46,0013.txt,car,True,2365,True,1,0.9422517656834234,0.817575
47,0014.txt,car,True,12580,True,1,0.9457263319279418,0.377541
48,0014.txt,car,True,360,True,1,0.5730337078651685,0.075858
49,0014.txt,car,True,399,True,1,0.8581730769230769,0.731059
50,0014.txt,car,True,2376,True,1,0.9368686868686869,0.880797
51,0015.txt,car,True,30378,True,1,0.9418745613475403,0.880797
52,0015.txt,car,True,540,True,1,0.7027027027027027,0.047426
53,0015.txt,car,True,456,True,1,0.6640625,0.377541
54,0015.txt,car,True,2142,True,1,0.9337068160597572,0.817575
55,0016.txt,car,True,700,True,1,0.8984700973574409,0.377541
56,0016.txt,car,True,520,True,1,0.8364312267657993,0.731059
57,0016.txt,car,True,1872,True,1,0.8867924528301887,0.731059
58,0017.txt,car,True,989,True,1,0.8921859545004945,0.817575
59,0017.txt,car,True,588,True,1,0.782312925170068,0.377541
60,0017.txt,car,True,1584,True,1,0.8661971830985915,0.075858
61,0018.txt,car,True,1404,True,1,0.9285714285714286,0.817575
62,0018.txt,car,True,690,True,1,0.8608695652173913,0.5
63,0018.txt,car,True,1240,True,1,0.8507462686567164,0.075858
64,0019.txt,car,True,2345,True,1,0.9565217391304348,0.075858
65,0019.txt,car,True,768,True,1,0.90625,0.5
66,0019.txt,car,True,1073,True,1,0.8365145228215768,0.182426
67,0020.txt,car,True,3999,True,1,0.9566495224099927,0.817575
68,0020.txt,car,True,884,True,1,0.9004237288135594,0.5
69,0020.txt,car,True,1015,True,1,0.8340425531914893,0.00407
70,0021.txt,car,True,8723,True,1,0.9604493866788949,0.880797
71,0021.txt,car,True,1064,True,1,0.9103690685413005,0.001501
72,0021.txt,car,True,952,True,1,0.7828947368421053,0.029312
73,0022.txt,car,True,22932,True,1,0.9622481801252751,0.377541
74,0022.txt,car,True,1333,True,1,0.8044303797468354,0.00407
75,0022.txt,car,True,1044,True,1,0.8635235732009926,0.010987
76,0023.txt,car,True,18768,True,1,0.9304526748971194,0.880797
77,0023.txt,car,True,1680,True,1,0.9256948383437322,0.731059
78,0023.txt,car,True,1110,True,1,0.8676716917922948,0.017986
79,0024.txt,car,True,2052,True,1,0.9122807017543859,0.817575
80,0024.txt,car,True,1178,True,1,0.892018779342723,0.002473
