,Model,params,FPS,GFLOPs,N_mAP / G_mAP (%),N_mAP,G_mAP,per,car,bus,tru,cyc,mot,data_set
0,v5n_c2f_tv,2.75,173.22,7.25,83.57,46.2,55.28,58.02,88.08,72.57,63.31,17.18,51.9,tv
1,v5n_k3_tv,2.18,223.31,5.54,85.72,45.45,53.02,57.79,87.18,70.1,60.17,11.6,50.92,tv
2,v5n_org_tv,2.18,221.75,5.81,84.26,45.38,53.86,57.97,87.29,70.74,61.06,14.33,49.39,tv
3,v8n_c3_tv,2.16,208.5,5.52,79.96,42.17,52.74,56.32,86.87,69.24,60.25,14.98,50.52,tv
4,v8n_k6_tv,2.69,177.28,7.09,84.1,45.9,54.58,57.25,87.93,72.86,62.39,14.56,51.86,tv
5,v8n_org_tv,2.69,181.14,6.83,86.83,46.69,53.77,56.9,87.83,72.17,61.59,12.71,50.87,tv
6,v8n_org_t,2.69,180.77,6.83,86.52,44.53,51.47,55.45,87.01,68.03,59.78,9.84,50.03,t
7,v8n_P2_t,3.06,140.53,9.08,90.18,49.23,54.59,59.99,88.71,70.95,63.67,12.54,52.94,t
8,v8s_org_t,11.13,63.74,28.45,90.81,54.93,60.49,63.26,90.26,77.89,68.72,18.71,58.73,t
9,v8s_P2_t,11.33,50.12,32.39,86.99,54.01,62.09,66.13,91.07,79.9,70.62,21.7,61.11,t
10,v5n_1111_ta,2.41,218.11,6.68,inf,41.11,0.0,54.57,86.45,66.82,59.7,14.37,50.48,ta
11,v5n_1221_ta,2.46,204.52,6.94,inf,47.18,0.0,54.08,86.08,68.51,59.21,20.39,50.51,ta
12,v5n_2332_ta,2.68,190.07,7.46,inf,45.06,0.0,54.82,86.35,68.2,60.59,14.35,52.54,ta
13,v8n_1111_ta,2.9,181.74,7.57,inf,42.84,0.0,55.46,86.92,69.3,60.06,15.7,50.96,ta
14,v8n_1221_ta,3.01,165.44,8.09,inf,45.62,0.0,55.47,87.15,70.7,60.31,15.34,52.31,ta
15,v8n_2332_ta,3.44,146.01,9.14,inf,46.45,0.0,56.28,87.83,72.54,62.02,14.79,53.11,ta
