epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.269,1.29172,2.00327,0.99588,0.66726,0.42855,0.47153,0.28728,1.13485,1.05897,0.92322,0.000331658,0.000331658,0.000331658
2,230.573,1.17399,1.11691,0.97718,0.70328,0.46609,0.531,0.32282,1.13587,0.92067,0.94196,0.000651825,0.000651825,0.000651825
3,339.546,1.16712,0.97183,0.98192,0.63128,0.4147,0.46862,0.28343,1.17613,1.11573,0.96647,0.000958791,0.000958791,0.000958791
4,447.337,1.13878,0.87468,0.97643,0.74727,0.50407,0.57696,0.35491,1.12489,0.83438,0.94528,0.0009406,0.0009406,0.0009406
5,554.687,1.10041,0.81062,0.96338,0.76532,0.50025,0.58262,0.36221,1.08075,0.80313,0.93576,0.0009208,0.0009208,0.0009208
6,662.733,1.07533,0.77598,0.95683,0.78138,0.52878,0.61171,0.38965,1.06823,0.76043,0.9291,0.000901,0.000901,0.000901
7,770.581,1.05114,0.74544,0.94791,0.74353,0.53402,0.61271,0.38442,1.0381,0.7527,0.92029,0.0008812,0.0008812,0.0008812
8,878.478,1.03351,0.72338,0.94499,0.76619,0.53955,0.62171,0.40168,1.02727,0.71989,0.91726,0.0008614,0.0008614,0.0008614
9,986.262,1.02367,0.70938,0.94015,0.78315,0.553,0.63161,0.40849,1.00832,0.70979,0.91668,0.0008416,0.0008416,0.0008416
10,1093.86,1.00914,0.6915,0.9374,0.77505,0.55471,0.63278,0.41901,0.98201,0.6791,0.9052,0.0008218,0.0008218,0.0008218
11,1201.97,0.99927,0.68236,0.93438,0.79361,0.56265,0.6491,0.42035,0.98666,0.67535,0.90957,0.000802,0.000802,0.000802
12,1309.89,0.98402,0.665,0.9282,0.79226,0.57968,0.65711,0.42902,0.97271,0.66258,0.90273,0.0007822,0.0007822,0.0007822
13,1417.5,0.9786,0.65828,0.92722,0.78875,0.57828,0.65032,0.42511,0.98038,0.65193,0.89754,0.0007624,0.0007624,0.0007624
14,1525.41,0.97001,0.64936,0.92431,0.8005,0.57988,0.66352,0.43974,0.98027,0.65336,0.9034,0.0007426,0.0007426,0.0007426
15,1635.35,0.9661,0.64217,0.92335,0.81658,0.58299,0.66995,0.44657,0.96738,0.62611,0.89929,0.0007228,0.0007228,0.0007228
16,1746.89,0.95709,0.63499,0.92168,0.82699,0.57732,0.67133,0.44221,0.9545,0.6306,0.89762,0.000703,0.000703,0.000703
17,1857.73,0.9448,0.62278,0.91543,0.81141,0.58815,0.66953,0.4496,0.94269,0.62399,0.89225,0.0006832,0.0006832,0.0006832
18,1970.54,0.94275,0.61906,0.91454,0.80402,0.59022,0.67476,0.45367,0.94163,0.62003,0.89694,0.0006634,0.0006634,0.0006634
19,2080.86,0.93198,0.61131,0.91174,0.79837,0.59589,0.68168,0.45359,0.93915,0.61151,0.88922,0.0006436,0.0006436,0.0006436
20,2189,0.93023,0.60509,0.91236,0.82683,0.59061,0.67907,0.46073,0.9227,0.59858,0.8881,0.0006238,0.0006238,0.0006238
21,2297.34,0.92234,0.59806,0.90983,0.83288,0.60242,0.68978,0.46405,0.92652,0.60231,0.89236,0.000604,0.000604,0.000604
22,2405.44,0.92084,0.59534,0.90977,0.81299,0.59174,0.67977,0.46138,0.92539,0.6067,0.88573,0.0005842,0.0005842,0.0005842
23,2513.66,0.91029,0.58541,0.90472,0.83078,0.60277,0.68613,0.46462,0.92233,0.59177,0.88583,0.0005644,0.0005644,0.0005644
24,2621.81,0.90654,0.58431,0.90343,0.8153,0.60213,0.68547,0.46545,0.91676,0.59112,0.88494,0.0005446,0.0005446,0.0005446
25,2730.15,0.90377,0.57834,0.90183,0.8114,0.60675,0.68734,0.46928,0.90995,0.58557,0.88207,0.0005248,0.0005248,0.0005248
26,2838.35,0.89822,0.57558,0.9008,0.80483,0.60414,0.6874,0.46742,0.90737,0.5862,0.88319,0.000505,0.000505,0.000505
27,2945.9,0.89754,0.57182,0.90137,0.8291,0.60933,0.69275,0.47272,0.90882,0.57487,0.88151,0.0004852,0.0004852,0.0004852
28,3053.8,0.8912,0.5655,0.89798,0.81987,0.60857,0.69502,0.47771,0.90452,0.57061,0.88247,0.0004654,0.0004654,0.0004654
29,3161.36,0.88759,0.56238,0.89767,0.82903,0.61206,0.69813,0.48142,0.89656,0.56499,0.88087,0.0004456,0.0004456,0.0004456
30,3268.84,0.8791,0.55763,0.89583,0.82974,0.61487,0.69845,0.47878,0.90457,0.56679,0.87922,0.0004258,0.0004258,0.0004258
31,3376.62,0.87525,0.55414,0.89403,0.82312,0.61037,0.69655,0.47793,0.89778,0.56805,0.87954,0.000406,0.000406,0.000406
