,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9368686868686869,0.924142
1,0.txt,car,conf_lack,176.0,True,1,car,0.5357142857142857,0.377541
2,0.txt,car,pos_clsT,154.0,positive,1,car,0.47619047619047616,0.622459
3,1.txt,car,Detect,8308.0,True,1,car,0.9691863264323544,0.924142
4,1.txt,car,Detect,143.0,True,1,car,0.5555555555555556,0.622459
5,1.txt,car,Detect,216.0,True,1,car,0.7346938775510204,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.7368421052631579,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9556735399432028,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.6244541484716157,0.622459
9,3.txt,car,Detect,456.0,True,1,car,0.8947368421052632,0.731059
10,3.txt,car,Detect,53256.0,True,1,car,0.9616520242731637,0.924142
11,3.txt,car,conf_lack,156.0,True,1,car,0.631578947368421,0.5
12,4.txt,car,Detect,567.0,True,1,car,0.8108108108108109,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9837523719165086,0.880797
14,4.txt,car,Detect,168.0,True,1,car,0.5894736842105263,0.731059
15,5.txt,car,Detect,792.0,True,1,car,0.8333333333333334,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.6842105263157895,0.622459
17,5.txt,car,conf_lack,165.0,True,1,car,0.6410256410256411,0.5
18,6.txt,car,Detect,1092.0,True,1,car,0.8095238095238095,0.817575
19,6.txt,car,Detect,323.0,True,1,car,0.7351190476190477,0.731059
20,6.txt,car,conf_lack,300.0,True,1,car,0.7891373801916933,0.5
21,7.txt,car,Detect,408.0,True,1,car,0.7352941176470589,0.622459
22,7.txt,car,Detect,342.0,True,1,car,0.7878048780487805,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.9153515064562411,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.6490299823633157,0.622459
25,8.txt,car,Detect,380.0,True,1,car,0.6728971962616822,0.731059
26,8.txt,car,Detect,1785.0,True,1,car,0.952914798206278,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.9375,0.731059
28,9.txt,car,Detect,380.0,True,1,car,0.8315098468271335,0.622459
29,9.txt,car,Detect,2090.0,True,1,car,0.9473684210526315,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.8919961427193829,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.9473684210526315,0.731059
32,10.txt,car,conf_lack,233.0,True,1,car,0.6018518518518519,0.182426
33,10.txt,car,Detect,2184.0,True,1,car,0.9083665338645418,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9479653102068045,0.880797
35,11.txt,car,conf_lack,187.0,True,1,car,0.7070707070707071,0.377541
36,11.txt,car,Detect,323.0,True,1,car,0.8073654390934845,0.622459
37,11.txt,car,conf_lack,233.0,True,1,car,0.7809187279151943,0.182426
38,11.txt,car,Detect,2296.0,True,1,car,0.9140008309098463,0.880797
39,12.txt,car,Detect,2520.0,True,1,car,0.9459041731066461,0.924142
40,12.txt,car,conf_lack,233.0,True,1,car,0.8205128205128205,0.377541
41,12.txt,car,Detect,323.0,True,1,car,0.8431952662721893,0.622459
42,12.txt,car,Detect,2408.0,True,1,car,0.9159220146222583,0.880797
43,13.txt,car,conf_lack,294.0,True,1,car,0.75,0.5
44,13.txt,car,Detect,4997.0,True,1,car,0.9901960784313726,0.880797
45,13.txt,car,Detect,360.0,True,1,car,0.8163265306122449,0.622459
46,13.txt,car,Detect,2365.0,True,1,car,0.9133192389006343,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9681065180368478,0.924142
48,14.txt,car,conf_lack,360.0,True,1,car,0.6861111111111111,0.5
49,14.txt,car,Detect,399.0,True,1,car,0.8244803695150116,0.731059
50,14.txt,car,Detect,2376.0,True,1,car,0.9385610347615198,0.880797
51,15.txt,car,Detect,30378.0,True,1,car,0.9567271352985639,0.924142
52,15.txt,car,Detect,540.0,True,1,car,0.6808510638297872,0.731059
53,15.txt,car,Detect,456.0,True,1,car,0.7824267782426778,0.731059
54,15.txt,car,Detect,2142.0,True,1,car,0.9183135704874835,0.880797
55,16.txt,car,Detect,700.0,True,1,car,0.6214285714285714,0.622459
56,16.txt,car,Detect,520.0,True,1,car,0.6728971962616822,0.731059
57,16.txt,car,Detect,1872.0,True,1,car,0.9411764705882353,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.8732673267326733,0.817575
59,17.txt,car,Detect,588.0,True,1,car,0.8552631578947368,0.731059
60,17.txt,car,Detect,1584.0,True,1,car,0.9565217391304348,0.880797
61,18.txt,car,Detect,1404.0,True,1,car,0.9090909090909091,0.880797
62,18.txt,car,Detect,690.0,True,1,car,0.7608695652173914,0.731059
63,18.txt,car,Detect,1280.0,True,1,car,0.917298937784522,0.880797
64,19.txt,car,Detect,2312.0,True,1,car,0.8885149347917544,0.880797
65,19.txt,car,Detect,800.0,True,1,car,0.8090452261306532,0.731059
66,19.txt,car,Detect,1110.0,True,1,car,0.8653225806451613,0.880797
67,20.txt,car,Detect,3999.0,True,1,car,0.9662415603900976,0.880797
68,20.txt,car,Detect,883.0,True,1,car,0.8687782805429864,0.731059
69,20.txt,car,Detect,1050.0,True,1,car,0.8859060402684564,0.880797
70,21.txt,car,Detect,8723.0,True,1,car,0.970055789593533,0.880797
71,21.txt,car,Detect,1102.0,True,1,car,0.9655172413793104,0.817575
72,21.txt,car,Detect,986.0,True,1,car,0.9376915219611849,0.817575
73,22.txt,car,Detect,23067.0,True,1,car,0.9671704012506513,0.880797
74,22.txt,car,Detect,1376.0,True,1,car,0.9163636363636364,0.880797
75,22.txt,car,Detect,1080.0,True,1,car,0.9157894736842105,0.880797
76,23.txt,car,Detect,18632.0,True,1,car,0.9645390070921985,0.880797
77,23.txt,car,Detect,1632.0,True,1,car,0.8861646234676007,0.880797
78,23.txt,car,Detect,1147.0,True,1,car,0.9165935030728709,0.817575
79,24.txt,car,Detect,2052.0,True,1,car,0.9444444444444444,0.880797
80,24.txt,car,Detect,1216.0,True,1,car,0.9437086092715232,0.880797
81,25.txt,car,Detect,2562.0,True,1,car,0.953125,0.924142
82,25.txt,car,Detect,1248.0,True,1,car,0.94453125,0.880797
83,26.txt,car,Detect,3174.0,True,1,car,0.964741641337386,0.924142
84,26.txt,car,Detect,1353.0,True,1,car,0.9523809523809523,0.880797
85,27.txt,car,Detect,4029.0,True,1,car,0.955572102258625,0.924142
86,27.txt,car,Detect,1505.0,True,1,car,0.9278752436647173,0.880797
87,28.txt,car,Detect,4840.0,True,1,car,0.9227467811158798,0.880797
88,28.txt,car,Detect,1584.0,True,1,car,0.9565217391304348,0.880797
89,29.txt,car,Detect,5820.0,True,1,car,0.9108247422680412,0.924142
90,29.txt,car,Detect,1548.0,True,1,car,0.9049909801563439,0.924142
91,30.txt,car,Detect,6488.0,True,1,car,0.9682539682539683,0.880797
92,30.txt,car,Detect,1320.0,True,1,car,0.8741865509761388,0.880797
93,31.txt,car,Detect,6448.0,True,1,car,0.9496004917025199,0.880797
94,31.txt,car,Detect,1178.0,True,1,car,0.8947804473902237,0.817575
95,32.txt,car,Detect,5800.0,True,1,car,0.9301694915254237,0.924142
96,32.txt,car,Detect,1015.0,True,1,car,0.913926499032882,0.880797
97,33.txt,car,Detect,5346.0,True,1,car,0.97,0.924142
98,33.txt,car,Detect,831.0,True,1,car,0.9056603773584906,0.731059
99,34.txt,car,Detect,5247.0,True,1,car,0.9717492984097287,0.924142
100,34.txt,car,Detect,779.0,True,1,car,0.8668341708542714,0.817575
101,35.txt,car,Detect,5824.0,True,1,car,0.9729545841129443,0.880797
102,35.txt,car,Detect,750.0,True,1,car,0.8674698795180723,0.880797
103,36.txt,car,Detect,7137.0,True,1,car,0.9453573814295257,0.817575
104,36.txt,car,Detect,750.0,True,1,car,0.8893333333333333,0.880797
105,37.txt,car,Detect,10360.0,True,1,car,0.9727567155648695,0.880797
106,37.txt,car,Detect,672.0,True,1,car,0.8690958164642375,0.817575
107,38.txt,car,Detect,16435.0,True,1,car,0.967812197483059,0.880797
108,38.txt,car,Detect,672.0,True,1,car,0.8935251798561151,0.817575
109,39.txt,car,Detect,15259.0,True,1,car,0.8679746105020196,0.817575
