,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9434296861145594,0.880797
1,0.txt,car,Detect,176.0,True,1,car,0.5720338983050848,0.377541
2,0.txt,car,Detect,154.0,True,1,car,0.5833333333333334,0.5
3,1.txt,car,Detect,8308.0,True,1,car,0.9545016851227732,0.924142
4,1.txt,car,Detect,143.0,True,1,car,0.7878787878787878,0.622459
5,1.txt,car,Detect,216.0,True,1,car,0.763265306122449,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.8842105263157894,0.880797
7,2.txt,car,Detect,16198.0,True,1,car,0.9887640449438202,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.6441441441441441,0.817575
9,3.txt,car,Detect,456.0,True,1,car,0.7894736842105263,0.880797
10,3.txt,car,Detect,53256.0,True,1,car,0.9820563098893781,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.7647058823529411,0.5
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.817575
13,4.txt,car,Detect,58065.0,True,1,car,0.9636113095845668,0.952574
14,4.txt,car,Detect,168.0,True,1,car,0.680161943319838,0.731059
15,5.txt,car,Detect,792.0,True,1,car,0.7910085054678008,0.924142
16,5.txt,car,Detect,210.0,True,1,car,0.7777777777777778,0.817575
17,5.txt,car,Detect,165.0,True,1,car,0.7352941176470589,0.622459
18,6.txt,car,Detect,1092.0,True,1,car,0.8571428571428571,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.8823529411764706,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.7891373801916933,0.731059
21,7.txt,car,Detect,408.0,True,1,car,0.8455882352941176,0.731059
22,7.txt,car,Detect,342.0,True,1,car,0.5939086294416244,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.946441672780631,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.7495590828924162,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.8221153846153846,0.622459
26,8.txt,car,Detect,1785.0,True,1,car,0.9264305177111717,0.880797
