,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9191489361702128,0.924142
1,0.txt,car,pos_clsT,176.0,positive,1,car,0.3836317135549872,0.5
2,0.txt,car,pos_clsT,154.0,positive,1,car,0.4444444444444444,0.731059
3,1.txt,car,Detect,8308.0,True,1,car,0.9453538757823784,0.924142
4,1.txt,car,pos_clsT,143.0,positive,1,car,0.3869047619047619,0.731059
5,1.txt,car,Detect,216.0,True,1,car,0.6428571428571429,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.8,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9575511180198494,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.539622641509434,0.622459
9,3.txt,car,Detect,456.0,True,1,car,0.7236842105263158,0.731059
10,3.txt,car,Detect,53256.0,True,1,car,0.9672628347701413,0.939913
11,3.txt,car,Detect,156.0,True,1,car,0.5909090909090909,0.5
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.924142
13,4.txt,car,Detect,58065.0,True,1,car,0.9267667342799188,0.904651
14,4.txt,car,Detect,168.0,True,1,car,0.5714285714285714,0.622459
15,5.txt,car,Detect,792.0,True,1,car,0.7954545454545454,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.7090909090909091,0.622459
17,5.txt,car,Detect,165.0,True,1,car,0.8021390374331551,0.622459
18,6.txt,car,Detect,1092.0,True,1,car,0.9047619047619048,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.6823204419889503,0.622459
20,6.txt,car,Detect,300.0,True,1,car,0.6785714285714286,0.622459
21,7.txt,car,Detect,408.0,True,1,car,0.8455882352941176,0.731059
22,7.txt,car,Detect,342.0,True,1,car,0.6068796068796068,0.817575
23,7.txt,car,Detect,1364.0,True,1,car,0.8736223365172667,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.7795414462081128,0.622459
25,8.txt,car,Detect,380.0,True,1,car,0.6728971962616822,0.731059
26,8.txt,car,Detect,1785.0,True,1,car,0.9338565022421524,0.817575
27,9.txt,car,Detect,736.0,True,1,car,0.96875,0.817575
28,9.txt,car,Detect,380.0,True,1,car,0.6896551724137931,0.731059
29,9.txt,car,Detect,2090.0,True,1,car,0.9559808612440192,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.851,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.821256038647343,0.731059
32,10.txt,car,conf_lack,233.0,True,1,car,0.7804878048780488,0.268941
33,10.txt,car,Detect,2184.0,True,1,car,0.9239081494822152,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9479653102068045,0.924142
35,11.txt,car,conf_lack,187.0,True,1,car,0.8602150537634409,0.268941
36,11.txt,car,Detect,323.0,True,1,car,0.8044692737430168,0.731059
37,11.txt,car,conf_lack,233.0,True,1,car,0.6654804270462633,0.075858
38,11.txt,car,Detect,2296.0,True,1,car,0.8686440677966102,0.880797
39,12.txt,car,Detect,2520.0,True,1,car,0.8835719668425018,0.880797
40,12.txt,car,Detect,233.0,True,1,car,0.6837606837606838,0.5
41,12.txt,car,Detect,323.0,True,1,car,0.6805970149253732,0.731059
42,12.txt,car,Detect,2408.0,True,1,car,0.9251137774100124,0.880797
43,13.txt,car,Detect,294.0,True,1,car,0.7560137457044673,0.5
44,13.txt,car,Detect,4997.0,True,1,car,0.9323076923076923,0.924142
45,13.txt,car,Detect,360.0,True,1,car,0.7692307692307693,0.731059
46,13.txt,car,Detect,2365.0,True,1,car,0.9073535521395929,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9677167810355584,0.924142
48,14.txt,car,Detect,360.0,True,1,car,0.7222222222222222,0.5
49,14.txt,car,Detect,399.0,True,1,car,0.8521303258145363,0.622459
50,14.txt,car,Detect,2376.0,True,1,car,0.9368686868686869,0.880797
51,15.txt,car,Detect,30378.0,True,1,car,0.9919678714859438,0.880797
52,15.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.731059
53,15.txt,car,Detect,456.0,True,1,car,0.7098765432098766,0.622459
54,15.txt,car,Detect,2142.0,True,1,car,0.9534883720930233,0.924142
55,16.txt,car,Detect,700.0,True,1,car,0.9714285714285714,0.817575
56,16.txt,car,Detect,520.0,True,1,car,0.8698884758364313,0.817575
57,16.txt,car,Detect,1872.0,True,1,car,0.9795918367346939,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.8732673267326733,0.880797
59,17.txt,car,Detect,588.0,True,1,car,0.9183673469387755,0.731059
60,17.txt,car,Detect,1584.0,True,1,car,0.9310761789600968,0.880797
61,18.txt,car,Detect,1404.0,True,1,car,0.9454545454545454,0.880797
62,18.txt,car,Detect,690.0,True,1,car,0.8565400843881856,0.817575
63,18.txt,car,Detect,1280.0,True,1,car,0.9451219512195121,0.880797
64,19.txt,car,Detect,2312.0,True,1,car,0.9146700294241278,0.880797
65,19.txt,car,Detect,800.0,True,1,car,0.8385416666666666,0.817575
66,19.txt,car,Detect,1110.0,True,1,car,0.8653225806451613,0.731059
67,20.txt,car,Detect,3999.0,True,1,car,0.9665924276169265,0.924142
68,20.txt,car,Detect,883.0,True,1,car,0.8888888888888888,0.924142
69,20.txt,car,Detect,1050.0,True,1,car,0.9395973154362416,0.880797
70,21.txt,car,Detect,8723.0,True,1,car,0.9632244107935785,0.880797
71,21.txt,car,Detect,1102.0,True,1,car,0.9407603890362511,0.924142
72,21.txt,car,Detect,986.0,True,1,car,0.9376915219611849,0.924142
73,22.txt,car,Detect,23067.0,True,1,car,0.9616438356164384,0.924142
74,22.txt,car,Detect,1376.0,True,1,car,0.96875,0.880797
75,22.txt,car,Detect,1080.0,True,1,car,0.9402985074626866,0.880797
76,23.txt,car,Detect,18632.0,True,1,car,0.9310344827586207,0.924142
77,23.txt,car,Detect,1632.0,True,1,car,0.9054290718038529,0.880797
78,23.txt,car,Detect,1147.0,True,1,car,0.9103690685413005,0.880797
79,24.txt,car,Detect,2052.0,True,1,car,0.9210148396361896,0.880797
80,24.txt,car,Detect,1216.0,True,1,car,0.9208400646203554,0.880797
81,25.txt,car,Detect,2562.0,True,1,car,0.9244314013206163,0.880797
82,25.txt,car,Detect,1248.0,True,1,car,0.9210320562939797,0.880797
83,26.txt,car,Detect,3174.0,True,1,car,0.9511537308960144,0.880797
84,26.txt,car,Detect,1353.0,True,1,car,0.9761904761904762,0.880797
85,27.txt,car,Detect,4029.0,True,1,car,0.9382716049382716,0.924142
86,27.txt,car,Detect,1505.0,True,1,car,0.9428571428571428,0.880797
87,28.txt,car,Detect,4840.0,True,1,car,0.9123731459797033,0.924142
88,28.txt,car,Detect,1584.0,True,1,car,0.8775510204081632,0.880797
89,29.txt,car,Detect,5820.0,True,1,car,0.9367697594501718,0.880797
90,29.txt,car,Detect,1548.0,True,1,car,0.8587360594795539,0.880797
91,30.txt,car,Detect,6488.0,True,1,car,0.970873786407767,0.924142
92,30.txt,car,Detect,1320.0,True,1,car,0.8725925925925926,0.880797
93,31.txt,car,Detect,6448.0,True,1,car,0.9561765154985494,0.924142
94,31.txt,car,Detect,1178.0,True,1,car,1.0,0.880797
95,32.txt,car,Detect,5800.0,True,1,car,0.9377203290246768,0.924142
96,32.txt,car,Detect,1015.0,True,1,car,0.8127490039840638,0.880797
97,33.txt,car,Detect,5346.0,True,1,car,0.9267515923566879,0.880797
98,33.txt,car,Detect,831.0,True,1,car,0.8699763593380615,0.817575
99,34.txt,car,Detect,5247.0,True,1,car,0.9426275462530368,0.924142
100,34.txt,car,Detect,779.0,True,1,car,0.84,0.817575
101,35.txt,car,Detect,5824.0,True,1,car,0.9638879514006075,0.924142
102,35.txt,car,Detect,750.0,True,1,car,0.7955112219451371,0.880797
103,36.txt,car,Detect,7137.0,True,1,car,0.9836065573770492,0.924142
104,36.txt,car,Detect,750.0,True,1,car,0.7817715019255456,0.880797
105,37.txt,car,Detect,10360.0,True,1,car,0.9797123535574817,0.880797
106,37.txt,car,Detect,672.0,True,1,car,0.8346883468834688,0.880797
107,38.txt,car,Detect,16435.0,True,1,car,0.9574635445029346,0.924142
108,38.txt,car,Detect,672.0,True,1,car,0.8181818181818182,0.731059
109,39.txt,car,Detect,15259.0,True,1,car,0.822,0.924142
110,39.txt,car,Detect,644.0,True,1,car,0.922360248447205,0.817575
111,40.txt,car,Detect,594.0,True,1,car,0.8792270531400966,0.817575
112,41.txt,car,Detect,546.0,True,1,car,0.7866868381240545,0.817575
113,41.txt,car,Detect,1947.0,True,1,car,0.9216101694915254,0.880797
114,42.txt,car,Detect,4801.0,True,1,car,0.920033319450229,0.880797
115,42.txt,car,Detect,594.0,True,1,car,0.7996632996632996,0.817575
116,42.txt,car,Detect,220.0,True,1,car,0.6278409090909091,0.5
117,43.txt,car,Detect,10823.0,True,1,car,0.9424374018294374,0.880797
118,43.txt,car,Detect,621.0,True,1,car,0.8051529790660226,0.817575
119,43.txt,car,Detect,352.0,True,1,car,0.6858513189448441,0.622459
120,44.txt,car,conf_lack,756.0,True,1,car,0.6868686868686869,0.119203
121,44.txt,car,pos_clsT,600.0,positive,1,car,0.4130841121495327,0.001501
122,44.txt,car,Detect,682.0,True,1,car,0.8565400843881856,0.817575
123,44.txt,car,Detect,572.0,True,1,car,0.8481421647819063,0.880797
124,44.txt,car,Detect,170.0,True,1,car,0.75,0.5
125,44.txt,car,conf_lack,153.0,True,1,car,0.5423728813559322,0.029312
126,45.txt,car,Detect,1161.0,True,1,car,0.9181739879414298,0.880797
127,45.txt,car,conf_lack,378.0,True,1,car,0.7619047619047619,0.119203
128,45.txt,car,Detect,400.0,True,1,car,0.77,0.731059
129,45.txt,car,Detect,648.0,True,1,car,0.8424336973478939,0.817575
130,45.txt,car,conf_lack,297.0,True,1,car,0.582089552238806,0.029312
131,46.txt,car,Detect,2457.0,True,1,car,0.9181141439205955,0.880797
132,46.txt,car,Detect,612.0,True,1,car,0.599388379204893,0.5
133,46.txt,car,Detect,680.0,True,1,car,0.8470588235294118,0.731059
134,46.txt,car,Detect,621.0,True,1,car,0.8695652173913043,0.817575
135,47.txt,car,Detect,5301.0,True,1,car,0.9417457658663689,0.817575
136,47.txt,car,conf_lack,1034.0,True,1,car,0.8807829181494662,0.047426
137,47.txt,car,conf_lack,1351.0,True,1,car,0.7633136094674556,0.182426
138,47.txt,car,Detect,621.0,True,1,car,0.8015625,0.880797
139,48.txt,car,Detect,5904.0,True,1,car,0.8876404494382022,0.5
140,48.txt,car,Detect,4400.0,True,1,car,0.9043927648578811,0.880797
