,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9464285714285714,0.952574
1,0.txt,car,conf_lack,176.0,True,1,car,0.5357142857142857,0.268941
2,0.txt,car,Detect,154.0,True,1,car,0.5072463768115942,0.817575
3,1.txt,car,Detect,8308.0,True,1,car,0.977130476649013,0.952574
4,1.txt,car,Detect,143.0,True,1,car,0.6565656565656566,0.731059
5,1.txt,car,Detect,216.0,True,1,car,0.8292682926829268,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.8830188679245283,0.880797
7,2.txt,car,Detect,16198.0,True,1,car,0.994413407821229,0.952574
8,2.txt,car,Detect,156.0,True,1,car,0.7058823529411765,0.731059
9,3.txt,car,Detect,456.0,True,1,car,0.7236842105263158,0.880797
10,3.txt,car,Detect,53256.0,True,1,car,0.979010245219514,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.6666666666666666,0.622459
12,4.txt,car,Detect,567.0,True,1,car,0.9207419898819561,0.924142
13,4.txt,car,Detect,58065.0,True,1,car,0.975554435483871,0.952574
14,4.txt,car,Detect,168.0,True,1,car,0.680161943319838,0.622459
15,5.txt,car,Detect,792.0,True,1,car,0.8029197080291971,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.7317073170731707,0.731059
17,5.txt,car,Detect,165.0,True,1,car,0.7352941176470589,0.731059
18,6.txt,car,Detect,1092.0,True,1,car,0.8901098901098901,0.924142
19,6.txt,car,Detect,323.0,True,1,car,0.7988165680473372,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.9047619047619048,0.731059
21,7.txt,car,Detect,408.0,True,1,car,0.9071925754060325,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.7364341085271318,0.880797
23,7.txt,car,Detect,1364.0,True,1,car,0.9153515064562411,0.924142
24,8.txt,car,Detect,540.0,True,1,car,0.7936507936507936,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.7707808564231738,0.880797
26,8.txt,car,Detect,1785.0,True,1,car,0.9338565022421524,0.924142
27,9.txt,car,Detect,736.0,True,1,car,0.842391304347826,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.7142857142857143,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.9322033898305084,0.924142
30,10.txt,car,Detect,1039.0,True,1,car,0.8115942028985508,0.924142
31,10.txt,car,Detect,380.0,True,1,car,0.821256038647343,0.880797
32,10.txt,car,Detect,233.0,True,1,car,0.7218045112781954,0.731059
33,10.txt,car,Detect,2184.0,True,1,car,0.9240895129442738,0.924142
34,11.txt,car,Detect,1479.0,True,1,car,0.9109947643979057,0.924142
35,11.txt,car,Detect,187.0,True,1,car,0.9090909090909091,0.5
36,11.txt,car,Detect,323.0,True,1,car,0.7563025210084033,0.817575
37,11.txt,car,Detect,233.0,True,1,car,0.6616541353383458,0.377541
38,11.txt,car,Detect,2296.0,True,1,car,0.898325847284606,0.924142
39,12.txt,car,Detect,2520.0,True,1,car,0.919629057187017,0.924142
40,12.txt,car,Detect,233.0,True,1,car,0.7991452991452992,0.731059
41,12.txt,car,Detect,323.0,True,1,car,0.7244582043343654,0.817575
42,12.txt,car,Detect,2408.0,True,1,car,0.9318181818181818,0.924142
43,13.txt,car,Detect,294.0,True,1,car,0.7397260273972602,0.622459
44,13.txt,car,Detect,4997.0,True,1,car,0.9702734839476813,0.924142
45,13.txt,car,Detect,360.0,True,1,car,0.8888888888888888,0.880797
46,13.txt,car,Detect,2365.0,True,1,car,0.8690807799442897,0.924142
47,14.txt,car,Detect,12580.0,True,1,car,0.956799513233952,0.952574
48,14.txt,car,Detect,360.0,True,1,car,0.6,0.5
49,14.txt,car,Detect,399.0,True,1,car,0.7342657342657343,0.731059
50,14.txt,car,Detect,2376.0,True,1,car,0.9379652605459057,0.924142
51,15.txt,car,Detect,30378.0,True,1,car,0.9920318725099602,0.952574
52,15.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.817575
53,15.txt,car,Detect,456.0,True,1,car,0.8201754385964912,0.817575
54,15.txt,car,Detect,2142.0,True,1,car,0.9349220898258478,0.924142
55,16.txt,car,Detect,700.0,True,1,car,0.9166666666666666,0.880797
56,16.txt,car,Detect,520.0,True,1,car,0.8653846153846154,0.880797
57,16.txt,car,Detect,1872.0,True,1,car,0.9549738219895288,0.924142
58,17.txt,car,Detect,989.0,True,1,car,0.9545454545454546,0.924142
59,17.txt,car,Detect,588.0,True,1,car,0.8764415156507414,0.880797
60,17.txt,car,Detect,1584.0,True,1,car,0.901111761263897,0.924142
61,18.txt,car,Detect,1404.0,True,1,car,0.8940852819807428,0.924142
62,18.txt,car,Detect,690.0,True,1,car,0.7531380753138075,0.924142
63,18.txt,car,Detect,1280.0,True,1,car,0.9147771696637998,0.880797
64,19.txt,car,Detect,2312.0,True,1,car,0.8881412952060556,0.924142
65,19.txt,car,Detect,800.0,True,1,car,0.9283854166666666,0.880797
66,19.txt,car,Detect,1110.0,True,1,car,0.917094017094017,0.924142
67,20.txt,car,Detect,3999.0,True,1,car,0.9458054936896808,0.924142
68,20.txt,car,Detect,883.0,True,1,car,0.8636859323882224,0.924142
69,20.txt,car,Detect,1050.0,True,1,car,0.8859060402684564,0.924142
70,21.txt,car,Detect,8723.0,True,1,car,0.9469219305284879,0.952574
71,21.txt,car,Detect,1102.0,True,1,car,0.9407603890362511,0.924142
72,21.txt,car,Detect,986.0,True,1,car,0.8751191611058151,0.880797
73,22.txt,car,Detect,23067.0,True,1,car,0.9756705639614855,0.952574
74,22.txt,car,Detect,1376.0,True,1,car,0.9469090909090909,0.924142
75,22.txt,car,Detect,1080.0,True,1,car,0.8844765342960289,0.880797
76,23.txt,car,Detect,18632.0,True,1,car,0.9309442319307429,0.880797
77,23.txt,car,Detect,1632.0,True,1,car,0.9158249158249159,0.924142
78,23.txt,car,Detect,1147.0,True,1,car,0.9181141439205955,0.924142
79,24.txt,car,Detect,2052.0,True,1,car,0.9564384873145045,0.924142
80,24.txt,car,Detect,1216.0,True,1,car,0.8908507223113965,0.880797
81,25.txt,car,Detect,2562.0,True,1,car,0.9242424242424242,0.880797
82,25.txt,car,Detect,1248.0,True,1,car,0.94453125,0.924142
83,26.txt,car,Detect,3174.0,True,1,car,0.964741641337386,0.952574
84,26.txt,car,Detect,1353.0,True,1,car,0.9245947850599013,0.924142
85,27.txt,car,Detect,4029.0,True,1,car,0.9873417721518988,0.924142
86,27.txt,car,Detect,1505.0,True,1,car,0.9772727272727273,0.924142
87,28.txt,car,Detect,4840.0,True,1,car,0.9543278819305944,0.924142
88,28.txt,car,Detect,1584.0,True,1,car,0.9555555555555556,0.924142
89,29.txt,car,Detect,5820.0,True,1,car,0.9450132100396301,0.952574
90,29.txt,car,Detect,1548.0,True,1,car,0.9104658197217181,0.880797
91,30.txt,car,Detect,6488.0,True,1,car,0.9807692307692307,0.924142
92,30.txt,car,Detect,1320.0,True,1,car,0.8695652173913043,0.880797
93,31.txt,car,Detect,6448.0,True,1,car,0.9656012176560121,0.952574
94,31.txt,car,Detect,1178.0,True,1,car,0.95,0.880797
95,32.txt,car,Detect,5800.0,True,1,car,0.9301694915254237,0.952574
96,32.txt,car,Detect,1015.0,True,1,car,0.9459459459459459,0.880797
97,33.txt,car,Detect,5346.0,True,1,car,0.9199157007376185,0.924142
98,33.txt,car,Detect,831.0,True,1,car,0.872093023255814,0.880797
99,34.txt,car,Detect,5247.0,True,1,car,0.954,0.924142
100,34.txt,car,Detect,779.0,True,1,car,0.8846153846153846,0.924142
101,35.txt,car,Detect,5824.0,True,1,car,0.9373282967032966,0.924142
102,35.txt,car,Detect,750.0,True,1,car,0.8674698795180723,0.924142
103,36.txt,car,Detect,7137.0,True,1,car,0.9444972180757226,0.952574
104,36.txt,car,Detect,750.0,True,1,car,0.8582089552238806,0.880797
105,37.txt,car,Detect,10360.0,True,1,car,0.9660231660231661,0.952574
106,37.txt,car,Detect,672.0,True,1,car,0.9166666666666666,0.924142
107,38.txt,car,Detect,16435.0,True,1,car,0.9518707285995598,0.952574
108,38.txt,car,Detect,672.0,True,1,car,0.8559077809798271,0.924142
109,39.txt,car,Detect,15259.0,True,1,car,0.8261599263710682,0.924142
110,39.txt,car,Detect,644.0,True,1,car,0.924924924924925,0.924142
111,40.txt,car,Detect,594.0,True,1,car,0.8373590982286635,0.924142
112,41.txt,car,Detect,546.0,True,1,car,0.8575712143928036,0.880797
113,41.txt,car,Detect,1947.0,True,1,car,0.9531005732152162,0.880797
114,42.txt,car,Detect,4801.0,True,1,car,0.9311823565448234,0.924142
115,42.txt,car,Detect,594.0,True,1,car,0.8878048780487805,0.880797
116,42.txt,car,Detect,220.0,True,1,car,0.690625,0.622459
117,43.txt,car,Detect,10823.0,True,1,car,0.9675690658782223,0.952574
118,43.txt,car,Detect,621.0,True,1,car,0.9130434782608695,0.880797
