,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9382239382239382,0.924142
1,0.txt,car,Detect,176.0,True,1,car,0.5952380952380952,0.622459
2,0.txt,car,Detect,154.0,True,1,car,0.6730769230769231,0.731059
3,1.txt,car,Detect,8308.0,True,1,car,0.9479007409149712,0.924142
4,1.txt,car,Detect,143.0,True,1,car,0.5416666666666666,0.817575
5,1.txt,car,Detect,216.0,True,1,car,0.7346938775510204,0.817575
6,2.txt,car,Detect,252.0,True,1,car,0.7722772277227723,0.880797
7,2.txt,car,Detect,16198.0,True,1,car,0.9780206286836935,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.6666666666666666,0.731059
9,3.txt,car,Detect,456.0,True,1,car,0.8326530612244898,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.9757241530935673,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.7222222222222222,0.622459
12,4.txt,car,Detect,567.0,True,1,car,0.7911392405063291,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9206437291897891,0.904651
14,4.txt,car,Detect,168.0,True,1,car,0.8235294117647058,0.817575
15,5.txt,car,Detect,792.0,True,1,car,0.8029197080291971,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.7090909090909091,0.817575
17,5.txt,car,Detect,165.0,True,1,car,0.8522727272727273,0.622459
18,6.txt,car,Detect,1092.0,True,1,car,0.8571428571428571,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.8359133126934984,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.7891373801916933,0.817575
21,7.txt,car,Detect,408.0,True,1,car,0.7876712328767124,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.7258064516129032,0.880797
23,7.txt,car,Detect,1364.0,True,1,car,0.875,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.7936507936507936,0.880797
25,8.txt,car,Detect,380.0,True,1,car,0.7058823529411765,0.880797
26,8.txt,car,Detect,1785.0,True,1,car,0.952914798206278,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.842391304347826,0.924142
28,9.txt,car,Detect,380.0,True,1,car,0.6521739130434783,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.9322033898305084,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.8115942028985508,0.924142
31,10.txt,car,Detect,380.0,True,1,car,0.7317073170731707,0.817575
32,10.txt,car,Detect,233.0,True,1,car,0.9444444444444444,0.731059
33,10.txt,car,Detect,2184.0,True,1,car,0.8647281921618205,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9479653102068045,0.924142
35,11.txt,car,conf_lack,187.0,True,1,car,0.9090909090909091,0.5
36,11.txt,car,Detect,323.0,True,1,car,0.7100591715976331,0.817575
37,11.txt,car,conf_lack,233.0,True,1,car,0.7416107382550335,0.5
38,11.txt,car,Detect,2296.0,True,1,car,0.8685353335965259,0.880797
39,12.txt,car,Detect,2520.0,True,1,car,0.9459041731066461,0.924142
40,12.txt,car,Detect,233.0,True,1,car,0.8292682926829268,0.731059
41,12.txt,car,Detect,323.0,True,1,car,0.7735368956743003,0.880797
42,12.txt,car,Detect,2408.0,True,1,car,0.9432421396488363,0.880797
43,13.txt,car,Detect,294.0,True,1,car,0.8571428571428571,0.622459
44,13.txt,car,Detect,4997.0,True,1,car,0.9322162985529322,0.924142
45,13.txt,car,Detect,360.0,True,1,car,0.9444444444444444,0.817575
46,13.txt,car,Detect,2365.0,True,1,car,0.8710557070510323,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9568477429227238,0.952574
48,14.txt,car,Detect,360.0,True,1,car,0.65,0.731059
49,14.txt,car,Detect,399.0,True,1,car,0.7852193995381063,0.880797
50,14.txt,car,Detect,2376.0,True,1,car,0.9191919191919192,0.880797
51,15.txt,car,Detect,30378.0,True,1,car,0.9721740248056038,0.924142
52,15.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.817575
53,15.txt,car,Detect,456.0,True,1,car,0.9583333333333334,0.731059
54,15.txt,car,Detect,2142.0,True,1,car,0.9183135704874835,0.880797
55,16.txt,car,Detect,700.0,True,1,car,0.9714285714285714,0.817575
56,16.txt,car,Detect,520.0,True,1,car,0.8769230769230769,0.880797
57,16.txt,car,Detect,1872.0,True,1,car,0.9795918367346939,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.9545454545454546,0.880797
59,17.txt,car,Detect,588.0,True,1,car,0.9183673469387755,0.880797
60,17.txt,car,Detect,1584.0,True,1,car,0.92958616429895,0.880797
61,18.txt,car,Detect,1404.0,True,1,car,0.895364238410596,0.924142
62,18.txt,car,Detect,690.0,True,1,car,0.8270042194092827,0.817575
63,18.txt,car,Detect,1280.0,True,1,car,0.9452697419859265,0.880797
64,19.txt,car,Detect,2312.0,True,1,car,0.9134328358208955,0.880797
65,19.txt,car,Detect,800.0,True,1,car,0.92,0.880797
66,19.txt,car,Detect,1110.0,True,1,car,0.9666666666666667,0.880797
67,20.txt,car,Detect,3999.0,True,1,car,0.9665924276169265,0.924142
68,20.txt,car,Detect,883.0,True,1,car,0.9075907590759076,0.880797
69,20.txt,car,Detect,1050.0,True,1,car,0.9395973154362416,0.880797
70,21.txt,car,Detect,8723.0,True,1,car,0.9768871683934874,0.924142
71,21.txt,car,Detect,1102.0,True,1,car,0.9736842105263158,0.880797
72,21.txt,car,Detect,986.0,True,1,car,0.9714285714285714,0.880797
73,22.txt,car,Detect,23067.0,True,1,car,0.9715777758753531,0.924142
74,22.txt,car,Detect,1376.0,True,1,car,0.9467329545454546,0.880797
75,22.txt,car,Detect,1080.0,True,1,car,0.8844765342960289,0.817575
76,23.txt,car,Detect,18632.0,True,1,car,0.9784686482512341,0.924142
77,23.txt,car,Detect,1632.0,True,1,car,0.9246935201401051,0.880797
