,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9523809523809523,0.880797
1,0.txt,car,conf_lack,176.0,True,1,car,0.5102040816326531,0.268941
2,0.txt,car,Detect,154.0,True,1,car,0.5384615384615384,0.622459
3,1.txt,car,Detect,8308.0,True,1,car,0.969429185574397,0.924142
4,1.txt,car,pos_clsT,143.0,positive,1,car,0.4421768707482993,0.622459
5,1.txt,car,Detect,216.0,True,1,car,0.5964912280701754,0.622459
6,2.txt,car,Detect,252.0,True,1,car,0.7058823529411765,0.731059
7,2.txt,car,Detect,16198.0,True,1,car,0.9628190567278379,0.924142
8,2.txt,car,conf_lack,156.0,True,1,car,0.6190476190476191,0.377541
9,3.txt,car,Detect,456.0,True,1,car,0.8574561403508771,0.622459
10,3.txt,car,Detect,53256.0,True,1,car,0.9589101216055591,0.924142
11,3.txt,car,conf_lack,156.0,True,1,car,0.6,0.377541
12,4.txt,car,Detect,567.0,True,1,car,0.7283763277693475,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9456224350205198,0.817575
14,4.txt,car,conf_lack,168.0,True,1,car,0.6461538461538462,0.5
15,5.txt,car,Detect,792.0,True,1,car,0.7664233576642335,0.731059
16,5.txt,car,conf_lack,210.0,True,1,car,0.7777777777777778,0.377541
17,5.txt,car,conf_lack,165.0,True,1,car,0.7352941176470589,0.268941
18,6.txt,car,Detect,1092.0,True,1,car,0.8095238095238095,0.817575
19,6.txt,car,conf_lack,323.0,True,1,car,0.8044692737430168,0.5
20,6.txt,car,conf_lack,300.0,True,1,car,0.7307692307692307,0.377541
21,7.txt,car,conf_lack,408.0,True,1,car,0.8088235294117647,0.5
22,7.txt,car,Detect,342.0,True,1,car,0.7258064516129032,0.622459
23,7.txt,car,Detect,1364.0,True,1,car,0.8626887131560029,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.8712522045855379,0.731059
25,8.txt,car,Detect,380.0,True,1,car,0.8140703517587939,0.622459
26,8.txt,car,Detect,1785.0,True,1,car,0.8883903533370724,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.9375,0.731059
28,9.txt,car,Detect,380.0,True,1,car,0.7929515418502202,0.622459
29,9.txt,car,Detect,2090.0,True,1,car,0.9319029850746269,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.8454106280193237,0.817575
31,10.txt,car,conf_lack,380.0,True,1,car,0.8294930875576036,0.5
32,10.txt,car,conf_lack,233.0,True,1,car,0.8717948717948718,0.182426
33,10.txt,car,Detect,2184.0,True,1,car,0.8131868131868132,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.8609625668449198,0.817575
35,11.txt,car,conf_lack,187.0,True,1,car,0.7870370370370371,0.119203
36,11.txt,car,conf_lack,323.0,True,1,car,0.7744565217391305,0.5
37,11.txt,car,conf_lack,233.0,True,1,car,0.7416107382550335,0.119203
38,11.txt,car,Detect,2296.0,True,1,car,0.906318082788671,0.817575
39,12.txt,car,Detect,2520.0,True,1,car,0.8980477223427332,0.880797
40,12.txt,car,conf_lack,233.0,True,1,car,0.8780487804878049,0.377541
41,12.txt,car,Detect,323.0,True,1,car,0.7744565217391305,0.622459
42,12.txt,car,Detect,2408.0,True,1,car,0.8986765922249793,0.880797
43,13.txt,car,conf_lack,294.0,True,1,car,0.7986348122866894,0.268941
44,13.txt,car,Detect,4997.0,True,1,car,0.9705882352941176,0.880797
45,13.txt,car,Detect,360.0,True,1,car,0.8163265306122449,0.731059
46,13.txt,car,Detect,2365.0,True,1,car,0.917104731095835,0.817575
47,14.txt,car,Detect,12580.0,True,1,car,0.9322661923817993,0.924142
48,14.txt,car,conf_lack,360.0,True,1,car,0.9583333333333334,0.377541
49,14.txt,car,Detect,399.0,True,1,car,0.8244803695150116,0.622459
50,14.txt,car,Detect,2376.0,True,1,car,0.9555555555555556,0.731059
51,15.txt,car,Detect,30378.0,True,1,car,0.9839665727334564,0.924142
52,15.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.622459
53,15.txt,car,conf_lack,456.0,True,1,car,0.8574561403508771,0.5
54,15.txt,car,Detect,2142.0,True,1,car,0.918091809180918,0.731059
55,16.txt,car,Detect,700.0,True,1,car,0.7285714285714285,0.731059
56,16.txt,car,Detect,520.0,True,1,car,0.8812615955473099,0.622459
57,16.txt,car,Detect,1872.0,True,1,car,0.9356814701378254,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.8732673267326733,0.817575
59,17.txt,car,Detect,588.0,True,1,car,0.7653061224489796,0.622459
60,17.txt,car,Detect,1584.0,True,1,car,0.9059343434343434,0.817575
61,18.txt,car,Detect,1404.0,True,1,car,0.8571428571428571,0.817575
62,18.txt,car,Detect,690.0,True,1,car,0.7913043478260869,0.622459
63,18.txt,car,Detect,1280.0,True,1,car,0.8981989036805011,0.817575
64,19.txt,car,Detect,2312.0,True,1,car,0.901782014090344,0.817575
65,19.txt,car,Detect,800.0,True,1,car,0.90625,0.731059
66,19.txt,car,Detect,1110.0,True,1,car,0.9412280701754386,0.817575
