,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9553349875930521,0.924142
1,0.txt,car,conf_lack,176.0,True,1,car,0.5555555555555556,0.5
2,0.txt,car,pos_clsT,154.0,positive,1,car,0.43478260869565216,0.731059
3,1.txt,car,Detect,8308.0,True,1,car,0.969429185574397,0.952574
4,1.txt,car,pos_clsT,143.0,positive,1,car,0.45454545454545453,0.731059
5,1.txt,car,Detect,216.0,True,1,car,0.6708074534161491,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.6445012787723785,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9780206286836935,0.952574
8,2.txt,car,Detect,156.0,True,1,car,0.539622641509434,0.731059
9,3.txt,car,Detect,456.0,True,1,car,0.8625792811839323,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.9615832793859244,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.5714285714285714,0.817575
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.924142
13,4.txt,car,Detect,58065.0,True,1,car,0.9678399594834135,0.924142
14,4.txt,car,pos_clsT,168.0,positive,1,car,0.48695652173913045,0.817575
15,5.txt,car,Detect,792.0,True,1,car,0.8484848484848485,0.817575
16,5.txt,car,Detect,210.0,True,1,car,0.6190476190476191,0.731059
17,5.txt,car,Detect,165.0,True,1,car,0.5244755244755245,0.817575
18,6.txt,car,Detect,1092.0,True,1,car,0.9395604395604396,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.8085106382978723,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.9047619047619048,0.622459
21,7.txt,car,Detect,408.0,True,1,car,0.8461538461538461,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.6976744186046512,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.9153515064562411,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.8253968253968254,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.8080808080808081,0.731059
26,8.txt,car,Detect,1785.0,True,1,car,0.9348290598290598,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.8845108695652174,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.6896551724137931,0.817575
29,9.txt,car,Detect,2090.0,True,1,car,0.939990838295923,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.888,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.7766990291262136,0.817575
32,10.txt,car,conf_lack,233.0,True,1,car,0.7804878048780488,0.5
33,10.txt,car,Detect,2184.0,True,1,car,0.8655980271270037,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9109947643979057,0.924142
35,11.txt,car,conf_lack,187.0,True,1,car,0.8235294117647058,0.377541
36,11.txt,car,Detect,323.0,True,1,car,0.8073654390934845,0.731059
37,11.txt,car,conf_lack,233.0,True,1,car,0.6308243727598566,0.268941
38,11.txt,car,Detect,2296.0,True,1,car,0.8541666666666666,0.924142
39,12.txt,car,Detect,2520.0,True,1,car,0.9216867469879518,0.924142
40,12.txt,car,conf_lack,233.0,True,1,car,0.8081632653061225,0.5
41,12.txt,car,Detect,323.0,True,1,car,0.8467966573816156,0.731059
42,12.txt,car,Detect,2408.0,True,1,car,0.8737788198515045,0.880797
43,13.txt,car,Detect,294.0,True,1,car,0.8,0.622459
44,13.txt,car,Detect,4997.0,True,1,car,0.9902912621359223,0.924142
45,13.txt,car,Detect,360.0,True,1,car,0.9523809523809523,0.817575
46,13.txt,car,Detect,2365.0,True,1,car,0.9422517656834234,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9549826856483262,0.952574
48,14.txt,car,Detect,360.0,True,1,car,0.7364532019704434,0.817575
49,14.txt,car,Detect,399.0,True,1,car,1.0,0.731059
50,14.txt,car,Detect,2376.0,True,1,car,0.9599007854485324,0.924142
51,15.txt,car,Detect,30378.0,True,1,car,0.9764705882352941,0.924142
52,15.txt,car,Detect,540.0,True,1,car,0.8268551236749117,0.731059
53,15.txt,car,Detect,456.0,True,1,car,0.8574561403508771,0.731059
54,15.txt,car,Detect,2142.0,True,1,car,0.9401978417266187,0.924142
55,16.txt,car,Detect,700.0,True,1,car,0.8014285714285714,0.817575
56,16.txt,car,Detect,520.0,True,1,car,0.7961538461538461,0.731059
57,16.txt,car,Detect,1872.0,True,1,car,0.9549738219895288,0.924142
