,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9473684210526315,0.924142
1,0.txt,car,Detect,176.0,True,1,car,0.5952380952380952,0.731059
2,0.txt,car,pos_clsT,154.0,positive,1,car,0.45454545454545453,0.817575
3,1.txt,car,Detect,8308.0,True,1,car,0.9773107236684977,0.924142
4,1.txt,car,pos_clsT,143.0,positive,1,car,0.48148148148148145,0.817575
5,1.txt,car,Detect,216.0,True,1,car,0.68,0.924142
6,2.txt,car,Detect,252.0,True,1,car,0.8289473684210527,0.880797
7,2.txt,car,Detect,16198.0,True,1,car,0.9887640449438202,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.7058823529411765,0.817575
9,3.txt,car,Detect,456.0,True,1,car,0.8201754385964912,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.9820431483851819,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.6777251184834123,0.731059
12,4.txt,car,Detect,567.0,True,1,car,0.7552447552447552,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9714479369651784,0.924142
14,4.txt,car,Detect,168.0,True,1,car,0.5894736842105263,0.731059
15,5.txt,car,Detect,792.0,True,1,car,0.8543689320388349,0.924142
16,5.txt,car,Detect,210.0,True,1,car,0.6176470588235294,0.731059
17,5.txt,car,Detect,165.0,True,1,car,0.6410256410256411,0.622459
18,6.txt,car,Detect,1092.0,True,1,car,0.8617021276595744,0.924142
19,6.txt,car,Detect,323.0,True,1,car,0.7744565217391305,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.7476038338658147,0.817575
21,7.txt,car,Detect,408.0,True,1,car,0.8455882352941176,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.7564402810304449,0.880797
23,7.txt,car,Detect,1364.0,True,1,car,0.875,0.924142
24,8.txt,car,Detect,540.0,True,1,car,0.6613756613756614,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.6728971962616822,0.817575
26,8.txt,car,Detect,1785.0,True,1,car,0.9338565022421524,0.924142
27,9.txt,car,Detect,736.0,True,1,car,0.875,0.731059
28,9.txt,car,Detect,380.0,True,1,car,0.6976744186046512,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.9398040130657956,0.924142
30,10.txt,car,Detect,1039.0,True,1,car,0.9384023099133783,0.924142
31,10.txt,car,Detect,380.0,True,1,car,0.7788461538461539,0.817575
32,10.txt,car,Detect,233.0,True,1,car,0.8205128205128205,0.622459
33,10.txt,car,Detect,2184.0,True,1,car,0.9083665338645418,0.924142
34,11.txt,car,Detect,1479.0,True,1,car,0.8801571709233792,0.952574
35,11.txt,car,Detect,187.0,True,1,car,0.7070707070707071,0.377541
36,11.txt,car,Detect,323.0,True,1,car,0.8044692737430168,0.731059
