,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9368686868686869,0.924142
1,0.txt,car,Detect,176.0,True,1,car,0.5720338983050848,0.5
2,0.txt,car,Detect,154.0,True,1,car,0.7070707070707071,0.622459
3,1.txt,car,Detect,8308.0,True,1,car,0.9850746268656716,0.952574
4,1.txt,car,Detect,143.0,True,1,car,0.6018518518518519,0.817575
5,1.txt,car,Detect,216.0,True,1,car,0.6857142857142857,0.817575
6,2.txt,car,Detect,252.0,True,1,car,0.841726618705036,0.880797
7,2.txt,car,Detect,16198.0,True,1,car,0.9725274725274725,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.7222222222222222,0.817575
9,3.txt,car,Detect,456.0,True,1,car,0.8947368421052632,0.880797
10,3.txt,car,Detect,53256.0,True,1,car,0.9820756804602788,0.962673
11,3.txt,car,Detect,156.0,True,1,car,0.7222222222222222,0.817575
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9716643602119688,0.924142
14,4.txt,car,Detect,168.0,True,1,car,0.6588235294117647,0.731059
15,5.txt,car,Detect,792.0,True,1,car,0.7910085054678008,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.7777777777777778,0.731059
17,5.txt,car,Detect,165.0,True,1,car,0.8021390374331551,0.731059
18,6.txt,car,Detect,1092.0,True,1,car,0.9395604395604396,0.924142
19,6.txt,car,Detect,323.0,True,1,car,0.8467966573816156,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.6785714285714286,0.731059
21,7.txt,car,Detect,408.0,True,1,car,0.8088235294117647,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.7878048780487805,0.880797
23,7.txt,car,Detect,1364.0,True,1,car,0.9777777777777777,0.924142
24,8.txt,car,Detect,540.0,True,1,car,0.7195767195767195,0.880797
25,8.txt,car,Detect,380.0,True,1,car,0.7801932367149759,0.880797
26,8.txt,car,Detect,1785.0,True,1,car,0.9068984856982614,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.842391304347826,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.75,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.9473684210526315,0.924142
30,10.txt,car,Detect,1039.0,True,1,car,0.851,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.7707808564231738,0.817575
32,10.txt,car,Detect,233.0,True,1,car,0.8205128205128205,0.5
33,10.txt,car,Detect,2184.0,True,1,car,0.9239081494822152,0.924142
34,11.txt,car,Detect,1479.0,True,1,car,0.897196261682243,0.924142
35,11.txt,car,Detect,187.0,True,1,car,0.6632653061224489,0.377541
36,11.txt,car,Detect,323.0,True,1,car,0.7100591715976331,0.731059
37,11.txt,car,conf_lack,233.0,True,1,car,0.7450199203187251,0.182426
38,11.txt,car,Detect,2296.0,True,1,car,0.8690228690228691,0.924142
39,12.txt,car,Detect,2520.0,True,1,car,0.9714285714285714,0.924142
40,12.txt,car,Detect,233.0,True,1,car,0.8333333333333334,0.731059
41,12.txt,car,Detect,323.0,True,1,car,0.8359133126934984,0.817575
42,12.txt,car,Detect,2408.0,True,1,car,0.8670756646216768,0.924142
43,13.txt,car,Detect,294.0,True,1,car,0.8357142857142857,0.5
44,13.txt,car,Detect,4997.0,True,1,car,0.949779911964786,0.952574
45,13.txt,car,Detect,360.0,True,1,car,0.8888888888888888,0.924142
46,13.txt,car,Detect,2365.0,True,1,car,0.8869496231654106,0.924142
47,14.txt,car,Detect,12580.0,True,1,car,0.980896686159844,0.924142
48,14.txt,car,Detect,360.0,True,1,car,0.75,0.880797
49,14.txt,car,Detect,399.0,True,1,car,0.7066974595842956,0.880797
50,14.txt,car,Detect,2376.0,True,1,car,0.9382461918484973,0.924142
51,15.txt,car,Detect,30378.0,True,1,car,0.9798367426582978,0.939913
52,15.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.880797
53,15.txt,car,Detect,456.0,True,1,car,0.7824267782426778,0.880797
54,15.txt,car,Detect,2142.0,True,1,car,0.9545454545454546,0.924142
55,16.txt,car,Detect,700.0,True,1,car,0.8720445062586927,0.880797
56,16.txt,car,Detect,520.0,True,1,car,0.7009345794392523,0.880797
57,16.txt,car,Detect,1872.0,True,1,car,0.9795918367346939,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.9545454545454546,0.880797
