,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9727047146401985,0.924142
1,0.txt,car,conf_lack,176.0,True,1,car,0.5982905982905983,0.182426
2,0.txt,car,Detect,154.0,True,1,car,0.5833333333333334,0.731059
3,1.txt,car,Detect,8308.0,True,1,car,0.9475204622051036,0.924142
4,1.txt,car,Detect,143.0,True,1,car,0.5263157894736842,0.622459
5,1.txt,car,Detect,216.0,True,1,car,0.7346938775510204,0.622459
6,2.txt,car,Detect,252.0,True,1,car,0.7722772277227723,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9781360693782827,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.7647058823529411,0.731059
9,3.txt,car,Detect,456.0,True,1,car,0.7236842105263158,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.9733710015492573,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.7222222222222222,0.622459
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9342253774557113,0.924142
14,4.txt,car,Detect,168.0,True,1,car,0.7058823529411765,0.622459
15,5.txt,car,Detect,792.0,True,1,car,0.8286755771567437,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.6842105263157895,0.622459
17,5.txt,car,conf_lack,165.0,True,1,car,0.625,0.5
18,6.txt,car,Detect,1092.0,True,1,car,0.9395604395604396,0.924142
19,6.txt,car,Detect,323.0,True,1,car,0.8888888888888888,0.817575
20,6.txt,car,Detect,300.0,True,1,car,0.7307692307692307,0.622459
21,7.txt,car,Detect,408.0,True,1,car,0.8697674418604651,0.731059
22,7.txt,car,Detect,342.0,True,1,car,0.8138297872340425,0.817575
23,7.txt,car,Detect,1364.0,True,1,car,0.9045226130653267,0.817575
24,8.txt,car,Detect,540.0,True,1,car,0.7795414462081128,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.7494199535962877,0.817575
26,8.txt,car,Detect,1785.0,True,1,car,0.935093509350935,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.9266304347826086,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.6976744186046512,0.817575
29,9.txt,car,Detect,2090.0,True,1,car,0.939990838295923,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.9008662175168431,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.8564231738035264,0.731059
32,10.txt,car,Detect,233.0,True,1,car,0.8333333333333334,0.731059
33,10.txt,car,Detect,2184.0,True,1,car,0.8805418719211823,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9293655984303466,0.880797
35,11.txt,car,conf_lack,187.0,True,1,car,0.75,0.377541
