,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9379652605459057,0.880797
1,0.txt,car,Detect,176.0,True,1,car,0.5952380952380952,0.622459
2,0.txt,car,conf_lack,154.0,True,1,car,0.5555555555555556,0.5
3,1.txt,car,Detect,8308.0,True,1,car,0.9409203248205249,0.880797
4,1.txt,car,Detect,143.0,True,1,car,0.625,0.731059
5,1.txt,car,Detect,216.0,True,1,car,0.6951672862453532,0.817575
6,2.txt,car,Detect,252.0,True,1,car,0.841726618705036,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9778985059883937,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.8,0.622459
9,3.txt,car,Detect,456.0,True,1,car,0.7894736842105263,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.9762659978608048,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.6842105263157895,0.622459
12,4.txt,car,Detect,567.0,True,1,car,0.8783783783783784,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9487794786925942,0.880797
14,4.txt,car,Detect,168.0,True,1,car,0.6905829596412556,0.622459
15,5.txt,car,Detect,792.0,True,1,car,0.7274826789838337,0.880797
16,5.txt,car,Detect,210.0,True,1,car,0.6666666666666666,0.731059
17,5.txt,car,conf_lack,165.0,True,1,car,0.6944444444444444,0.5
18,6.txt,car,Detect,1092.0,True,1,car,0.86996336996337,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.8431952662721893,0.817575
20,6.txt,car,conf_lack,300.0,True,1,car,0.8471337579617835,0.5
21,7.txt,car,Detect,408.0,True,1,car,0.8455882352941176,0.731059
22,7.txt,car,Detect,342.0,True,1,car,0.7786259541984732,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.8724035608308606,0.880797
24,8.txt,car,Detect,540.0,True,1,car,0.7795414462081128,0.880797
25,8.txt,car,Detect,380.0,True,1,car,0.6352941176470588,0.880797
26,8.txt,car,Detect,1785.0,True,1,car,0.9338565022421524,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.8152173913043478,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.7692307692307693,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.9301435406698565,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.7777777777777778,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.759493670886076,0.817575
32,10.txt,car,conf_lack,233.0,True,1,car,0.8205128205128205,0.5
33,10.txt,car,Detect,2184.0,True,1,car,0.9239081494822152,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.8801571709233792,0.880797
35,11.txt,car,conf_lack,187.0,True,1,car,0.7079646017699115,0.377541
36,11.txt,car,Detect,323.0,True,1,car,0.7988165680473372,0.731059
37,11.txt,car,conf_lack,233.0,True,1,car,0.6654804270462633,0.182426
