,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9285587661762099,0.924142
1,0.txt,car,Detect,176.0,True,1,car,0.5102040816326531,0.377541
2,0.txt,car,Detect,154.0,True,1,car,0.5668016194331984,0.5
3,1.txt,car,Detect,8308.0,True,1,car,0.9330393408378787,0.924142
4,1.txt,car,Detect,143.0,True,1,car,0.6018518518518519,0.5
5,1.txt,car,Detect,216.0,True,1,car,0.6538461538461539,0.731059
6,2.txt,car,Detect,252.0,True,1,car,0.7801857585139319,0.817575
7,2.txt,car,Detect,16198.0,True,1,car,0.9667860229657983,0.924142
8,2.txt,car,pos_clsT,156.0,positive,1,car,0.49523809523809526,0.622459
9,3.txt,car,Detect,456.0,True,1,car,0.8947368421052632,0.817575
10,3.txt,car,Detect,53256.0,True,1,car,0.972883537089806,0.924142
11,3.txt,car,Detect,156.0,True,1,car,0.5652173913043478,0.622459
12,4.txt,car,Detect,567.0,True,1,car,0.8267716535433071,0.817575
13,4.txt,car,Detect,58065.0,True,1,car,0.9716870838204646,0.880797
14,4.txt,car,Detect,168.0,True,1,car,0.6222222222222222,0.731059
15,5.txt,car,Detect,792.0,True,1,car,0.7954545454545454,0.817575
16,5.txt,car,Detect,210.0,True,1,car,0.5416666666666666,0.731059
17,5.txt,car,Detect,165.0,True,1,car,0.6410256410256411,0.622459
18,6.txt,car,Detect,1092.0,True,1,car,0.8901098901098901,0.880797
19,6.txt,car,Detect,323.0,True,1,car,0.8073654390934845,0.731059
20,6.txt,car,Detect,300.0,True,1,car,0.6785714285714286,0.5
21,7.txt,car,Detect,408.0,True,1,car,0.7876712328767124,0.731059
22,7.txt,car,Detect,342.0,True,1,car,0.6976744186046512,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.8773181169757489,0.817575
24,8.txt,car,Detect,540.0,True,1,car,0.7795414462081128,0.817575
25,8.txt,car,Detect,380.0,True,1,car,0.6260869565217392,0.817575
26,8.txt,car,Detect,1785.0,True,1,car,0.8513740886146943,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.8152173913043478,0.880797
28,9.txt,car,Detect,380.0,True,1,car,0.7346938775510204,0.817575
29,9.txt,car,Detect,2090.0,True,1,car,0.9559808612440192,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.888,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.6980676328502415,0.731059
32,10.txt,car,conf_lack,233.0,True,1,car,0.8947368421052632,0.119203
33,10.txt,car,Detect,2184.0,True,1,car,0.9240895129442738,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.9152768512341561,0.924142
35,11.txt,car,Detect,187.0,True,1,car,0.9411764705882353,0.5
36,11.txt,car,Detect,323.0,True,1,car,0.7351190476190477,0.622459
37,11.txt,car,conf_lack,233.0,True,1,car,0.7697368421052632,0.268941
38,11.txt,car,Detect,2296.0,True,1,car,0.906318082788671,0.880797
39,12.txt,car,Detect,2520.0,True,1,car,0.9100758396533044,0.880797
40,12.txt,car,Detect,233.0,True,1,car,0.7906976744186046,0.5
41,12.txt,car,Detect,323.0,True,1,car,0.717948717948718,0.731059
42,12.txt,car,Detect,2408.0,True,1,car,0.8709293089753772,0.924142
43,13.txt,car,Detect,294.0,True,1,car,0.6206896551724138,0.5
44,13.txt,car,Detect,4997.0,True,1,car,0.9403761504601841,0.924142
45,13.txt,car,Detect,360.0,True,1,car,0.6516290726817042,0.817575
46,13.txt,car,Detect,2365.0,True,1,car,0.9073535521395929,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9328200483091788,0.924142
48,14.txt,car,Detect,360.0,True,1,car,0.8555555555555555,0.5
49,14.txt,car,Detect,399.0,True,1,car,0.8244803695150116,0.817575
50,14.txt,car,Detect,2376.0,True,1,car,0.917104731095835,0.880797
51,15.txt,car,Detect,30378.0,True,1,car,0.9603747804021081,0.880797
52,15.txt,car,Detect,540.0,True,1,car,0.6222222222222222,0.817575
53,15.txt,car,Detect,456.0,True,1,car,0.6578947368421053,0.622459
54,15.txt,car,Detect,2142.0,True,1,car,0.9183135704874835,0.880797
55,16.txt,car,Detect,700.0,True,1,car,0.8685714285714285,0.731059
56,16.txt,car,Detect,520.0,True,1,car,0.7211538461538461,0.817575
57,16.txt,car,Detect,1872.0,True,1,car,0.9109481403876375,0.924142
58,17.txt,car,Detect,989.0,True,1,car,0.8944820909970959,0.817575
59,17.txt,car,Detect,588.0,True,1,car,0.7346938775510204,0.817575
60,17.txt,car,Detect,1584.0,True,1,car,0.9501262626262627,0.924142
61,18.txt,car,Detect,1404.0,True,1,car,0.8940397350993378,0.880797
62,18.txt,car,Detect,690.0,True,1,car,0.7536231884057971,0.880797
63,18.txt,car,Detect,1280.0,True,1,car,0.8981989036805011,0.817575
64,19.txt,car,Detect,2312.0,True,1,car,0.9158957106812448,0.880797
65,19.txt,car,Detect,800.0,True,1,car,0.8385416666666666,0.880797
66,19.txt,car,Detect,1110.0,True,1,car,0.8556618819776715,0.880797
67,20.txt,car,Detect,3999.0,True,1,car,0.9668762088974855,0.924142
68,20.txt,car,Detect,883.0,True,1,car,0.8996728462377317,0.880797
69,20.txt,car,Detect,1050.0,True,1,car,0.8859060402684564,0.880797
70,21.txt,car,Detect,8723.0,True,1,car,0.9544223826714802,0.880797
71,21.txt,car,Detect,1102.0,True,1,car,0.9743589743589743,0.880797
72,21.txt,car,Detect,986.0,True,1,car,0.9376915219611849,0.880797
73,22.txt,car,Detect,23067.0,True,1,car,0.9575752386660388,0.880797
74,22.txt,car,Detect,1376.0,True,1,car,0.9469090909090909,0.880797
75,22.txt,car,Detect,1080.0,True,1,car,0.9722222222222222,0.880797
76,23.txt,car,Detect,18632.0,True,1,car,0.9374625374625375,0.880797
77,23.txt,car,Detect,1632.0,True,1,car,0.9714285714285714,0.880797
78,23.txt,car,Detect,1147.0,True,1,car,0.8618881118881119,0.880797
79,24.txt,car,Detect,2052.0,True,1,car,0.9327272727272727,0.880797
80,24.txt,car,Detect,1216.0,True,1,car,0.9198075380914194,0.880797
81,25.txt,car,Detect,2562.0,True,1,car,0.9455909943714822,0.880797
82,25.txt,car,Detect,1248.0,True,1,car,0.9200968523002422,0.880797
83,26.txt,car,Detect,3174.0,True,1,car,0.9241379310344827,0.924142
84,26.txt,car,Detect,1353.0,True,1,car,0.9523809523809523,0.880797
85,27.txt,car,Detect,4029.0,True,1,car,0.9376522162688748,0.880797
86,27.txt,car,Detect,1505.0,True,1,car,0.8640897755610972,0.880797
87,28.txt,car,Detect,4840.0,True,1,car,0.953521412624315,0.924142
88,28.txt,car,Detect,1584.0,True,1,car,0.9310761789600968,0.880797
