,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0000.txt,car,Detect,5544.0,True,1,car,0.9285587661762099,0.924142
1,0000.txt,car,conf_lack,176.0,True,1,car,0.5102040816326531,0.268941
2,0000.txt,car,Detect,154.0,True,1,car,0.5263157894736842,0.5
3,0001.txt,car,Detect,8308.0,True,1,car,0.9474433503381184,0.952574
4,0001.txt,car,Detect,143.0,True,1,car,0.5701754385964912,0.5
5,0001.txt,car,Detect,216.0,True,1,car,0.6708074534161491,0.817575
6,0002.txt,car,Detect,252.0,True,1,car,0.7058823529411765,0.817575
7,0002.txt,car,Detect,16198.0,True,1,car,0.956968451589508,0.924142
8,0002.txt,car,Detect,156.0,True,1,car,0.5714285714285714,0.622459
9,0003.txt,car,Detect,456.0,True,1,car,0.7236842105263158,0.731059
10,0003.txt,car,Detect,53256.0,True,1,car,0.9729329629358872,0.924142
11,0003.txt,car,Detect,156.0,True,1,car,0.6190476190476191,0.622459
12,0004.txt,car,Detect,567.0,True,1,car,0.7911392405063291,0.817575
13,0004.txt,car,Detect,58065.0,True,1,car,0.9753512067102351,0.880797
14,0004.txt,car,Detect,168.0,True,1,car,0.56,0.731059
15,0005.txt,car,Detect,792.0,True,1,car,0.7828282828282829,0.817575
16,0005.txt,car,Detect,210.0,True,1,car,0.7831325301204819,0.622459
17,0005.txt,car,Detect,165.0,True,1,car,0.6410256410256411,0.622459
18,0006.txt,car,Detect,1092.0,True,1,car,0.8406593406593407,0.817575
19,0006.txt,car,Detect,323.0,True,1,car,0.8431952662721893,0.731059
20,0006.txt,car,Detect,300.0,True,1,car,0.8471337579617835,0.5
21,0007.txt,car,Detect,408.0,True,1,car,0.8455882352941176,0.731059
22,0007.txt,car,Detect,342.0,True,1,car,0.6976744186046512,0.731059
23,0007.txt,car,Detect,1364.0,True,1,car,0.8369098712446352,0.817575
24,0008.txt,car,Detect,540.0,True,1,car,0.8253968253968254,0.817575
25,0008.txt,car,Detect,380.0,True,1,car,0.7099767981438515,0.817575
26,0008.txt,car,Detect,1785.0,True,1,car,0.8937142857142857,0.880797
27,0009.txt,car,Detect,736.0,True,1,car,0.8559782608695652,0.817575
28,0009.txt,car,Detect,380.0,True,1,car,0.753880266075388,0.817575
29,0009.txt,car,Detect,2090.0,True,1,car,0.8956937799043062,0.880797
30,0010.txt,car,Detect,1039.0,True,1,car,0.84,0.880797
31,0010.txt,car,Detect,380.0,True,1,car,0.6219512195121951,0.731059
32,0010.txt,car,conf_lack,233.0,True,1,car,0.7804878048780488,0.075858
33,0010.txt,car,Detect,2184.0,True,1,car,0.9240895129442738,0.880797
34,0011.txt,car,Detect,1479.0,True,1,car,0.9152768512341561,0.924142
35,0011.txt,car,Detect,187.0,True,1,car,0.7079646017699115,0.5
36,0011.txt,car,Detect,323.0,True,1,car,0.7077363896848138,0.622459
37,0011.txt,car,conf_lack,233.0,True,1,car,0.7697368421052632,0.268941
38,0011.txt,car,Detect,2296.0,True,1,car,0.88759367194005,0.880797
39,0012.txt,car,Detect,2520.0,True,1,car,0.9108910891089109,0.880797
40,0012.txt,car,Detect,233.0,True,1,car,0.85,0.5
41,0012.txt,car,Detect,323.0,True,1,car,0.670487106017192,0.622459
42,0012.txt,car,Detect,2408.0,True,1,car,0.8964059196617337,0.880797
43,0013.txt,car,Detect,294.0,True,1,car,0.6206896551724138,0.5
44,0013.txt,car,Detect,4997.0,True,1,car,0.9041939207387457,0.924142
45,0013.txt,car,Detect,360.0,True,1,car,0.7407407407407407,0.731059
46,0013.txt,car,Detect,2365.0,True,1,car,0.8690807799442897,0.880797
47,0014.txt,car,Detect,12580.0,True,1,car,0.9219635929573262,0.880797
48,0014.txt,car,Detect,360.0,True,1,car,0.8555555555555555,0.377541
49,0014.txt,car,Detect,399.0,True,1,car,0.7555555555555555,0.817575
50,0014.txt,car,Detect,2376.0,True,1,car,0.9385610347615198,0.880797
51,0015.txt,car,Detect,30378.0,True,1,car,0.9720866679679875,0.880797
52,0015.txt,car,Detect,540.0,True,1,car,0.6666666666666666,0.817575
53,0015.txt,car,Detect,456.0,True,1,car,0.6578947368421053,0.622459
54,0015.txt,car,Detect,2142.0,True,1,car,0.918091809180918,0.880797
55,0016.txt,car,Detect,700.0,True,1,car,0.8685714285714285,0.731059
56,0016.txt,car,Detect,520.0,True,1,car,0.8173076923076923,0.817575
57,0016.txt,car,Detect,1872.0,True,1,car,0.9350785340314136,0.924142
58,0017.txt,car,Detect,989.0,True,1,car,0.7928642220019821,0.817575
59,0017.txt,car,Detect,588.0,True,1,car,0.7058823529411765,0.817575
60,0017.txt,car,Detect,1584.0,True,1,car,0.9310761789600968,0.880797
61,0018.txt,car,Detect,1404.0,True,1,car,0.9629629629629629,0.880797
62,0018.txt,car,Detect,690.0,True,1,car,0.7246376811594203,0.880797
63,0018.txt,car,Detect,1280.0,True,1,car,0.9452697419859265,0.817575
64,0019.txt,car,Detect,2312.0,True,1,car,0.8881412952060556,0.924142
65,0019.txt,car,Detect,800.0,True,1,car,0.8385416666666666,0.880797
66,0019.txt,car,Detect,1110.0,True,1,car,0.8802039082412915,0.880797
67,0020.txt,car,Detect,3999.0,True,1,car,0.9463629684055841,0.880797
68,0020.txt,car,Detect,883.0,True,1,car,0.8996728462377317,0.880797
69,0020.txt,car,Detect,1050.0,True,1,car,0.9103448275862069,0.880797
70,0021.txt,car,Detect,8723.0,True,1,car,0.9545149002912839,0.924142
71,0021.txt,car,Detect,1102.0,True,1,car,0.9404216315307058,0.880797
72,0021.txt,car,Detect,986.0,True,1,car,0.9714285714285714,0.880797
73,0022.txt,car,Detect,23067.0,True,1,car,0.9575752386660388,0.924142
74,0022.txt,car,Detect,1376.0,True,1,car,0.9469090909090909,0.880797
75,0022.txt,car,Detect,1080.0,True,1,car,0.9406858202038925,0.880797
76,0023.txt,car,Detect,18632.0,True,1,car,0.9240990537547815,0.880797
77,0023.txt,car,Detect,1632.0,True,1,car,0.9336384439359268,0.880797
78,0023.txt,car,Detect,1147.0,True,1,car,0.8618881118881119,0.817575
79,0024.txt,car,Detect,2052.0,True,1,car,0.933271547729379,0.880797
80,0024.txt,car,Detect,1216.0,True,1,car,0.9487179487179487,0.880797
81,0025.txt,car,Detect,2562.0,True,1,car,0.9455909943714822,0.880797
82,0025.txt,car,Detect,1248.0,True,1,car,0.9200968523002422,0.880797
83,0026.txt,car,Detect,3174.0,True,1,car,0.9511537308960144,0.924142
84,0026.txt,car,Detect,1353.0,True,1,car,0.8792480115690527,0.880797
85,0027.txt,car,Detect,4029.0,True,1,car,0.955572102258625,0.880797
86,0027.txt,car,Detect,1505.0,True,1,car,0.8886123210952085,0.880797
87,0028.txt,car,Detect,4840.0,True,1,car,0.9437350359138069,0.924142
88,0028.txt,car,Detect,1584.0,True,1,car,0.9111111111111111,0.880797
89,0029.txt,car,Detect,5820.0,True,1,car,0.9690721649484536,0.880797
90,0029.txt,car,Detect,1548.0,True,1,car,0.8836633663366337,0.880797
91,0030.txt,car,Detect,6488.0,True,1,car,0.9431345353675451,0.880797
92,0030.txt,car,Detect,1320.0,True,1,car,0.9512195121951219,0.880797
93,0031.txt,car,Detect,6448.0,True,1,car,0.9333126550868487,0.880797
94,0031.txt,car,Detect,1178.0,True,1,car,0.9743589743589743,0.880797
95,0032.txt,car,Detect,5800.0,True,1,car,0.943728813559322,0.880797
96,0032.txt,car,Detect,1015.0,True,1,car,0.9714285714285714,0.880797
97,0033.txt,car,Detect,5346.0,True,1,car,0.9548899314326957,0.924142
98,0033.txt,car,Detect,831.0,True,1,car,0.9230769230769231,0.817575
99,0034.txt,car,Detect,5247.0,True,1,car,0.954,0.924142
100,0034.txt,car,Detect,779.0,True,1,car,0.92,0.817575
101,0035.txt,car,Detect,5824.0,True,1,car,0.8897965721608201,0.924142
102,0035.txt,car,Detect,750.0,True,1,car,0.8213333333333334,0.880797
103,0036.txt,car,Detect,7137.0,True,1,car,0.9287169042769857,0.924142
104,0036.txt,car,Detect,750.0,True,1,car,0.8506666666666667,0.880797
105,0037.txt,car,Detect,10360.0,True,1,car,0.9396970563018006,0.880797
106,0037.txt,car,Detect,672.0,True,1,car,0.8235294117647058,0.817575
107,0038.txt,car,Detect,16435.0,True,1,car,0.9632082856626724,0.880797
108,0038.txt,car,Detect,672.0,True,1,car,0.8181818181818182,0.880797
109,0039.txt,car,Detect,15259.0,True,1,car,0.8669148441135411,0.880797
110,0039.txt,car,Detect,644.0,True,1,car,0.922360248447205,0.880797
111,0040.txt,car,Detect,594.0,True,1,car,0.771875,0.880797
112,0041.txt,car,Detect,546.0,True,1,car,0.9207419898819561,0.817575
113,0041.txt,car,Detect,1947.0,True,1,car,0.9071949947862357,0.880797
114,0042.txt,car,Detect,4801.0,True,1,car,0.9311823565448234,0.880797
115,0042.txt,car,Detect,594.0,True,1,car,0.8481421647819063,0.817575
116,0042.txt,car,Detect,220.0,True,1,car,0.775438596491228,0.377541
117,0043.txt,car,Detect,10823.0,True,1,car,0.9359515507432556,0.924142
118,0043.txt,car,Detect,621.0,True,1,car,0.711755233494364,0.817575
119,0043.txt,car,Detect,352.0,True,1,car,0.8282352941176471,0.731059
120,0044.txt,car,conf_lack,756.0,True,1,car,0.7692307692307693,0.010987
121,0044.txt,car,pos_clsT,600.0,positive,1,car,0.023148148148148147,0.010987
