,file_name,class,dt_condition,size,iou_tf,class_tf,pred_cls,iou,conf
0,0.txt,car,Detect,5544.0,True,1,car,0.9379652605459057,0.880797
1,0.txt,car,conf_lack,176.0,True,1,car,0.5016722408026756,0.268941
2,0.txt,car,Detect,154.0,True,1,car,0.5072463768115942,0.5
3,1.txt,car,Detect,8308.0,True,1,car,0.9484584608143093,0.880797
4,1.txt,car,Detect,143.0,True,1,car,0.6951871657754011,0.622459
5,1.txt,car,Detect,216.0,True,1,car,0.6857142857142857,0.5
6,2.txt,car,Detect,252.0,True,1,car,0.75,0.622459
7,2.txt,car,Detect,16198.0,True,1,car,0.9676779813757885,0.924142
8,2.txt,car,Detect,156.0,True,1,car,0.6666666666666666,0.731059
9,3.txt,car,Detect,456.0,True,1,car,0.8326530612244898,0.731059
10,3.txt,car,Detect,53256.0,True,1,car,0.9789452204722949,0.952574
11,3.txt,car,Detect,156.0,True,1,car,0.6137339055793991,0.377541
12,4.txt,car,Detect,567.0,True,1,car,0.8445945945945946,0.880797
13,4.txt,car,Detect,58065.0,True,1,car,0.9275348250254817,0.880797
14,4.txt,car,Detect,168.0,True,1,car,0.6363636363636364,0.622459
15,5.txt,car,Detect,792.0,True,1,car,0.8333333333333334,0.817575
16,5.txt,car,Detect,210.0,True,1,car,0.7090909090909091,0.622459
17,5.txt,car,Detect,165.0,True,1,car,0.8522727272727273,0.377541
18,6.txt,car,Detect,1092.0,True,1,car,0.8095238095238095,0.731059
19,6.txt,car,Detect,323.0,True,1,car,0.7988165680473372,0.622459
20,6.txt,car,Detect,300.0,True,1,car,0.7060702875399361,0.5
21,7.txt,car,Detect,408.0,True,1,car,0.9230769230769231,0.817575
22,7.txt,car,Detect,342.0,True,1,car,0.6269035532994924,0.731059
23,7.txt,car,Detect,1364.0,True,1,car,0.8787878787878788,0.817575
24,8.txt,car,Detect,540.0,True,1,car,0.7054673721340388,0.731059
25,8.txt,car,Detect,380.0,True,1,car,0.7476635514018691,0.817575
26,8.txt,car,Detect,1785.0,True,1,car,0.8799102132435466,0.880797
27,9.txt,car,Detect,736.0,True,1,car,0.9375,0.817575
28,9.txt,car,Detect,380.0,True,1,car,0.7627118644067796,0.880797
29,9.txt,car,Detect,2090.0,True,1,car,0.956959706959707,0.880797
30,10.txt,car,Detect,1039.0,True,1,car,0.888,0.880797
31,10.txt,car,Detect,380.0,True,1,car,0.821256038647343,0.731059
32,10.txt,car,Detect,233.0,True,1,car,0.8292682926829268,0.377541
33,10.txt,car,Detect,2184.0,True,1,car,0.8647281921618205,0.880797
34,11.txt,car,Detect,1479.0,True,1,car,0.897196261682243,0.880797
35,11.txt,car,conf_lack,187.0,True,1,car,0.6557377049180327,0.268941
36,11.txt,car,Detect,323.0,True,1,car,0.7578347578347578,0.622459
37,11.txt,car,conf_lack,233.0,True,1,car,0.7878787878787878,0.075858
38,11.txt,car,Detect,2296.0,True,1,car,0.9109730848861284,0.880797
39,12.txt,car,Detect,2520.0,True,1,car,0.9085778781038375,0.880797
40,12.txt,car,Detect,233.0,True,1,car,0.8372093023255814,0.5
41,12.txt,car,Detect,323.0,True,1,car,0.8431952662721893,0.5
42,12.txt,car,Detect,2408.0,True,1,car,0.9152542372881356,0.880797
43,13.txt,car,conf_lack,294.0,True,1,car,0.7028753993610224,0.268941
44,13.txt,car,Detect,4997.0,True,1,car,0.9795918367346939,0.880797
45,13.txt,car,Detect,360.0,True,1,car,0.851063829787234,0.622459
46,13.txt,car,Detect,2365.0,True,1,car,0.9221604447974583,0.880797
47,14.txt,car,Detect,12580.0,True,1,car,0.9474960224259413,0.880797
48,14.txt,car,conf_lack,360.0,True,1,car,0.8944444444444445,0.268941
49,14.txt,car,Detect,399.0,True,1,car,0.7644539614561028,0.622459
50,14.txt,car,Detect,2376.0,True,1,car,0.9063231850117096,0.880797
51,15.txt,car,Detect,30378.0,True,1,car,0.97215821812596,0.924142
52,15.txt,car,Detect,540.0,True,1,car,0.8185185185185185,0.622459
53,15.txt,car,Detect,456.0,True,1,car,0.7643312101910829,0.622459
54,15.txt,car,Detect,2142.0,True,1,car,0.9349220898258478,0.880797
55,16.txt,car,Detect,700.0,True,1,car,0.8014285714285714,0.817575
56,16.txt,car,Detect,520.0,True,1,car,0.7914338919925512,0.5
57,16.txt,car,Detect,1872.0,True,1,car,0.8952654232424677,0.880797
58,17.txt,car,Detect,989.0,True,1,car,0.8163265306122449,0.817575
59,17.txt,car,Detect,588.0,True,1,car,0.8552631578947368,0.622459
60,17.txt,car,Detect,1584.0,True,1,car,0.8816637375512595,0.817575
61,18.txt,car,Detect,1404.0,True,1,car,1.0,0.817575
62,18.txt,car,Detect,690.0,True,1,car,0.8521739130434782,0.731059
63,18.txt,car,Detect,1280.0,True,1,car,0.9193548387096774,0.880797
64,19.txt,car,Detect,2312.0,True,1,car,0.918854415274463,0.817575
65,19.txt,car,Detect,800.0,True,1,car,0.8203125,0.731059
66,19.txt,car,Detect,1110.0,True,1,car,0.9412280701754386,0.817575
67,20.txt,car,Detect,3999.0,True,1,car,0.9566495224099927,0.880797
68,20.txt,car,Detect,883.0,True,1,car,0.9259259259259259,0.817575
69,20.txt,car,Detect,1050.0,True,1,car,0.833489242282507,0.817575
70,21.txt,car,Detect,8723.0,True,1,car,0.970055789593533,0.880797
71,21.txt,car,Detect,1102.0,True,1,car,0.95,0.817575
72,21.txt,car,Detect,986.0,True,1,car,0.9714285714285714,0.880797
73,22.txt,car,Detect,23067.0,True,1,car,0.9176470588235294,0.924142
74,22.txt,car,Detect,1376.0,True,1,car,0.8976430976430977,0.880797
75,22.txt,car,Detect,1080.0,True,1,car,0.8857644991212654,0.817575
76,23.txt,car,Detect,18632.0,True,1,car,0.9643870154427986,0.924142
77,23.txt,car,Detect,1632.0,True,1,car,0.9521586931155193,0.880797
78,23.txt,car,Detect,1147.0,True,1,car,0.9186643835616438,0.817575
79,24.txt,car,Detect,2052.0,True,1,car,0.916287534121929,0.880797
80,24.txt,car,Detect,1216.0,True,1,car,0.9188741721854304,0.817575
81,25.txt,car,Detect,2562.0,True,1,car,0.9244314013206163,0.817575
82,25.txt,car,Detect,1248.0,True,1,car,0.8450704225352113,0.817575
83,26.txt,car,Detect,3174.0,True,1,car,0.9511537308960144,0.880797
84,26.txt,car,Detect,1353.0,True,1,car,0.9176895306859206,0.817575
85,27.txt,car,Detect,4029.0,True,1,car,0.9446687247684635,0.880797
86,27.txt,car,Detect,1505.0,True,1,car,0.9278752436647173,0.817575
87,28.txt,car,Detect,4840.0,True,1,car,0.9427527405602923,0.880797
88,28.txt,car,Detect,1584.0,True,1,car,0.9302884615384616,0.817575
89,29.txt,car,Detect,5820.0,True,1,car,0.9690721649484536,0.880797
90,29.txt,car,Detect,1548.0,True,1,car,0.8892921960072595,0.880797
91,30.txt,car,Detect,6488.0,True,1,car,0.97457235321313,0.880797
92,30.txt,car,Detect,1320.0,True,1,car,0.9285714285714286,0.817575
93,31.txt,car,Detect,6448.0,True,1,car,0.958819913952059,0.880797
94,31.txt,car,Detect,1178.0,True,1,car,0.9429280397022333,0.817575
95,32.txt,car,Detect,5800.0,True,1,car,0.9314703925482368,0.880797
96,32.txt,car,Detect,1015.0,True,1,car,0.913926499032882,0.731059
97,33.txt,car,Detect,5346.0,True,1,car,0.9360257326661902,0.880797
98,33.txt,car,Detect,831.0,True,1,car,0.8707482993197279,0.817575
99,34.txt,car,Detect,5247.0,True,1,car,0.9431632467768295,0.880797
100,34.txt,car,conf_lack,779.0,True,1,car,0.6764705882352942,0.182426
101,35.txt,car,Detect,5824.0,True,1,car,0.939469320066335,0.880797
102,35.txt,car,Detect,750.0,True,1,car,0.9302325581395349,0.5
103,36.txt,car,Detect,7137.0,True,1,car,0.9133395646948859,0.880797
104,36.txt,car,Detect,750.0,True,1,car,0.928,0.622459
105,37.txt,car,Detect,10360.0,True,1,car,0.9785714285714285,0.880797
106,37.txt,car,Detect,672.0,True,1,car,0.8603351955307262,0.817575
107,38.txt,car,Detect,16435.0,True,1,car,0.9738363430478575,0.924142
108,38.txt,car,Detect,672.0,True,1,car,0.8898809523809523,0.622459
109,39.txt,car,Detect,15259.0,True,1,car,0.8241944601469757,0.880797
110,39.txt,car,conf_lack,644.0,True,1,car,0.856551724137931,0.268941
111,40.txt,car,Detect,594.0,True,1,car,0.7648953301127214,0.731059
112,41.txt,car,Detect,546.0,True,1,car,0.8571428571428571,0.731059
113,41.txt,car,Detect,1947.0,True,1,car,0.8898305084745762,0.880797
114,42.txt,car,Detect,4801.0,True,1,car,0.892383091688789,0.880797
115,42.txt,car,Detect,594.0,True,1,car,0.822289156626506,0.622459
116,42.txt,car,conf_lack,220.0,True,1,car,0.8308270676691729,0.075858
117,43.txt,car,Detect,10823.0,True,1,car,0.8935591992028263,0.880797
118,43.txt,car,Detect,621.0,True,1,car,0.7421875,0.622459
119,43.txt,car,conf_lack,352.0,True,1,car,0.7482185273159145,0.268941
120,44.txt,car,conf_lack,756.0,True,1,car,0.6237373737373737,0.010987
121,44.txt,car,False,600.0,not_exist,0,0,-1.0,-1.0
122,44.txt,car,Detect,682.0,True,1,car,0.8504398826979472,0.622459
123,44.txt,car,Detect,572.0,True,1,car,0.8771929824561403,0.817575
124,44.txt,car,conf_lack,170.0,True,1,car,0.5517241379310345,0.182426
125,44.txt,car,pos_clsT,153.0,positive,1,car,0.2926829268292683,0.006693
126,45.txt,car,Detect,1161.0,True,1,car,0.8682170542635659,0.817575
127,45.txt,car,conf_lack,378.0,True,1,car,0.6984126984126984,0.017986
128,45.txt,car,Detect,400.0,True,1,car,0.77,0.377541
129,45.txt,car,Detect,648.0,True,1,car,0.8177570093457944,0.817575
130,45.txt,car,conf_lack,297.0,True,1,car,0.6515837104072398,0.001501
131,46.txt,car,Detect,2457.0,True,1,car,0.8875103391232424,0.731059
132,46.txt,car,Detect,612.0,True,1,car,0.6696428571428571,0.5
133,46.txt,car,Detect,680.0,True,1,car,0.7808219178082192,0.377541
134,46.txt,car,Detect,621.0,True,1,car,0.7929515418502202,0.731059
135,47.txt,car,Detect,5301.0,True,1,car,0.918854415274463,0.377541
136,47.txt,car,conf_lack,1034.0,True,1,car,0.7440585009140768,0.119203
137,47.txt,car,conf_lack,1351.0,True,1,car,0.6834532374100719,0.119203
138,47.txt,car,Detect,621.0,True,1,car,0.8932330827067669,0.5
139,48.txt,car,conf_lack,5904.0,True,1,car,0.7198394783044896,0.119203
140,48.txt,car,Detect,4400.0,True,1,car,1.0,0.817575
141,48.txt,car,Detect,594.0,True,1,car,0.8070652173913043,0.817575
142,49.txt,car,Detect,13640.0,True,1,car,0.8964357767316745,0.5
