,file_name,class,detect_tf,size,iou_tf,class_tf,iou,conf
0,0000.txt,car,False,5544,not_exist,-100,-100.0,-1.0
1,0000.txt,car,False,150,not_exist,-100,-100.0,-1.0
2,0000.txt,car,False,140,not_exist,-100,-100.0,-1.0
3,0001.txt,car,True,8308,True,1,0.9407096171802054,0.952574
4,0001.txt,car,False,130,not_exist,-100,-100.0,-1.0
5,0001.txt,car,False,216,not_exist,-100,-100.0,-1.0
6,0002.txt,car,False,252,not_exist,-100,-100.0,-1.0
7,0002.txt,car,False,16198,not_exist,-100,-100.0,-1.0
8,0002.txt,car,False,156,not_exist,-100,-100.0,-1.0
9,0003.txt,car,False,456,not_exist,-100,-100.0,-1.0
10,0003.txt,car,False,53573,not_exist,-100,-100.0,-1.0
11,0003.txt,car,False,156,not_exist,-100,-100.0,-1.0
12,0004.txt,car,False,572,not_exist,-100,-100.0,-1.0
13,0004.txt,car,False,58065,not_exist,-100,-100.0,-1.0
14,0004.txt,car,lack_conf,168,True,0,0.56,0.006693
15,0005.txt,car,False,792,not_exist,-100,-100.0,-1.0
16,0005.txt,car,False,210,not_exist,-100,-100.0,-1.0
17,0005.txt,car,False,150,not_exist,-100,-100.0,-1.0
18,0006.txt,car,False,1092,not_exist,-100,-100.0,-1.0
19,0006.txt,car,False,323,not_exist,-100,-100.0,-1.0
20,0006.txt,car,False,300,not_exist,-100,-100.0,-1.0
21,0007.txt,car,False,408,not_exist,-100,-100.0,-1.0
22,0007.txt,car,False,342,not_exist,-100,-100.0,-1.0
23,0007.txt,car,False,1320,not_exist,-100,-100.0,-1.0
24,0008.txt,car,False,567,not_exist,-100,-100.0,-1.0
25,0008.txt,car,False,380,not_exist,-100,-100.0,-1.0
26,0008.txt,car,False,1750,not_exist,-100,-100.0,-1.0
27,0009.txt,car,False,736,not_exist,-100,-100.0,-1.0
28,0009.txt,car,False,400,not_exist,-100,-100.0,-1.0
29,0009.txt,car,False,2090,not_exist,-100,-100.0,-1.0
30,0010.txt,car,False,1000,not_exist,-100,-100.0,-1.0
31,0010.txt,car,False,380,not_exist,-100,-100.0,-1.0
32,0010.txt,car,lack_conf,234,True,0,0.7819548872180451,0.002473
33,0010.txt,car,False,2145,not_exist,-100,-100.0,-1.0
34,0011.txt,car,False,1450,not_exist,-100,-100.0,-1.0
35,0011.txt,car,False,170,not_exist,-100,-100.0,-1.0
36,0011.txt,car,False,323,not_exist,-100,-100.0,-1.0
37,0011.txt,car,lack_conf,234,True,0,0.7450199203187251,0.002473
38,0011.txt,car,False,2255,not_exist,-100,-100.0,-1.0
39,0012.txt,car,False,2520,not_exist,-100,-100.0,-1.0
40,0012.txt,car,lack_conf,234,True,0,0.8205128205128205,0.002473
41,0012.txt,car,False,323,not_exist,-100,-100.0,-1.0
42,0012.txt,car,False,2365,not_exist,-100,-100.0,-1.0
43,0013.txt,car,lack_conf,280,True,0,0.8873720136518771,0.002473
44,0013.txt,car,False,4998,not_exist,-100,-100.0,-1.0
45,0013.txt,car,False,360,not_exist,-100,-100.0,-1.0
46,0013.txt,car,False,2365,not_exist,-100,-100.0,-1.0
47,0014.txt,car,False,12580,not_exist,-100,-100.0,-1.0
48,0014.txt,car,lack_conf,360,True,0,0.6666666666666666,0.002473
49,0014.txt,car,False,399,not_exist,-100,-100.0,-1.0
50,0014.txt,car,False,2376,not_exist,-100,-100.0,-1.0
51,0015.txt,car,False,30378,not_exist,-100,-100.0,-1.0
52,0015.txt,car,False,540,not_exist,-100,-100.0,-1.0
53,0015.txt,car,lack_conf,456,True,0,0.7236842105263158,0.017986
54,0015.txt,car,False,2142,not_exist,-100,-100.0,-1.0
55,0016.txt,car,False,700,not_exist,-100,-100.0,-1.0
56,0016.txt,car,lack_conf,520,True,0,0.8517887563884157,0.006693
57,0016.txt,car,False,1872,not_exist,-100,-100.0,-1.0
58,0017.txt,car,False,989,not_exist,-100,-100.0,-1.0
59,0017.txt,car,lack_conf,588,True,0,0.9090909090909091,0.002473
60,0017.txt,car,False,1584,not_exist,-100,-100.0,-1.0
61,0018.txt,car,False,1404,not_exist,-100,-100.0,-1.0
62,0018.txt,car,False,690,not_exist,-100,-100.0,-1.0
63,0018.txt,car,lack_conf,1240,True,1,0.8769230769230769,0.006693
64,0019.txt,car,True,2345,True,1,0.8907975460122699,0.5
65,0019.txt,car,False,768,not_exist,-100,-100.0,-1.0
66,0019.txt,car,False,1073,not_exist,-100,-100.0,-1.0
67,0020.txt,car,True,3999,True,1,0.9446191051995163,0.880797
68,0020.txt,car,False,884,not_exist,-100,-100.0,-1.0
69,0020.txt,car,False,1015,not_exist,-100,-100.0,-1.0
70,0021.txt,car,False,8723,not_exist,-100,-100.0,-1.0
71,0021.txt,car,False,1064,not_exist,-100,-100.0,-1.0
72,0021.txt,car,lack_conf,952,True,0,0.9310344827586207,0.006693
73,0022.txt,car,False,22932,not_exist,-100,-100.0,-1.0
74,0022.txt,car,False,1333,not_exist,-100,-100.0,-1.0
75,0022.txt,car,False,1044,not_exist,-100,-100.0,-1.0
76,0023.txt,car,False,18768,not_exist,-100,-100.0,-1.0
77,0023.txt,car,False,1680,not_exist,-100,-100.0,-1.0
