epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.013,1.1301,1.50586,0.9802,0.71525,0.54192,0.59829,0.37548,1.07809,0.8749,0.96559,0.000332496,0.000332496,0.000332496
2,356.662,1.07131,0.87705,0.97781,0.76771,0.57214,0.64069,0.411,0.98976,0.77465,0.92477,0.000652646,0.000652646,0.000652646
3,526.994,1.04744,0.7888,0.96358,0.78196,0.55452,0.63321,0.40466,1.01831,0.76087,0.92997,0.000959596,0.000959596,0.000959596
4,697.335,1.02733,0.74356,0.95362,0.80079,0.57942,0.65451,0.4288,0.98331,0.69878,0.91405,0.0009406,0.0009406,0.0009406
5,867.56,0.98735,0.69321,0.94024,0.75793,0.59745,0.66385,0.44099,0.95466,0.67652,0.90226,0.0009208,0.0009208,0.0009208
6,1037.86,0.9622,0.66116,0.93224,0.79759,0.61328,0.68793,0.45618,0.93845,0.64315,0.8983,0.000901,0.000901,0.000901
7,1207.97,0.93781,0.63641,0.9237,0.81485,0.60721,0.69982,0.46981,0.91448,0.62014,0.8903,0.0008812,0.0008812,0.0008812
8,1378.14,0.92098,0.6176,0.9185,0.83273,0.62387,0.71326,0.47911,0.91792,0.59617,0.88772,0.0008614,0.0008614,0.0008614
9,1548.44,0.90274,0.59773,0.91157,0.83779,0.62473,0.71308,0.48575,0.90626,0.59296,0.88313,0.0008416,0.0008416,0.0008416
10,1718.48,0.89358,0.58968,0.91074,0.82067,0.63021,0.71627,0.48064,0.89444,0.57745,0.8845,0.0008218,0.0008218,0.0008218
11,1888.85,0.88458,0.57565,0.90643,0.82909,0.63341,0.71719,0.49499,0.88124,0.57122,0.87637,0.000802,0.000802,0.000802
12,2059,0.8682,0.56336,0.90111,0.83862,0.64273,0.7323,0.50175,0.86289,0.56511,0.87103,0.0007822,0.0007822,0.0007822
13,2229.11,0.8601,0.55515,0.89858,0.84348,0.63532,0.73164,0.50507,0.86799,0.56163,0.87334,0.0007624,0.0007624,0.0007624
14,2398.76,0.85479,0.54785,0.89802,0.8291,0.64633,0.73299,0.50695,0.86431,0.54528,0.87097,0.0007426,0.0007426,0.0007426
15,2569.04,0.83923,0.53343,0.89276,0.82393,0.65336,0.74103,0.51244,0.8448,0.53514,0.87253,0.0007228,0.0007228,0.0007228
16,2774.02,0.83556,0.53078,0.8925,0.83536,0.64864,0.73425,0.5137,0.84572,0.53457,0.86925,0.000703,0.000703,0.000703
17,3156.8,0.82735,0.52147,0.88859,0.82916,0.64899,0.74028,0.51847,0.83499,0.52596,0.86992,0.0006832,0.0006832,0.0006832
18,3478.54,0.82141,0.51413,0.88754,0.83371,0.6543,0.7426,0.51941,0.84021,0.5199,0.86903,0.0006634,0.0006634,0.0006634
19,3784.54,0.81348,0.50892,0.88512,0.842,0.65593,0.74549,0.52173,0.83355,0.52577,0.86256,0.0006436,0.0006436,0.0006436
20,4000.79,0.80791,0.50232,0.88226,0.83401,0.65508,0.74062,0.52237,0.82795,0.51673,0.86566,0.0006238,0.0006238,0.0006238
