epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.147,3.40354,4.25405,3.48271,0.2522,0.03195,0.02993,0.01261,2.71705,2.79335,2.35115,0.00332887,0.00332887,0.00332887
2,379.631,2.16142,2.23311,1.97278,0.34443,0.21817,0.18564,0.08617,1.93467,1.66096,1.6412,0.00659625,0.00659625,0.00659625
3,561.784,1.84277,1.75023,1.68395,0.41486,0.28363,0.25629,0.12552,1.73953,1.52741,1.45547,0.00979763,0.00979763,0.00979763
4,743.99,1.64204,1.45188,1.51212,0.50446,0.36832,0.38047,0.20439,1.47161,1.16668,1.27278,0.009703,0.009703,0.009703
5,925.714,1.50742,1.2465,1.40801,0.61699,0.41647,0.44936,0.25271,1.38313,1.04015,1.21334,0.009604,0.009604,0.009604
6,1107.21,1.42985,1.14589,1.35855,0.62069,0.4282,0.46516,0.26473,1.31346,1.01395,1.16993,0.009505,0.009505,0.009505
7,1289.5,1.37631,1.07285,1.32188,0.64108,0.46637,0.50846,0.29659,1.23473,0.89489,1.13157,0.009406,0.009406,0.009406
8,1470.87,1.33965,1.02589,1.2973,0.68041,0.48282,0.52835,0.31132,1.19271,0.85633,1.11306,0.009307,0.009307,0.009307
9,1653.12,1.31299,0.98891,1.27744,0.70027,0.47993,0.53818,0.32145,1.17319,0.82863,1.09475,0.009208,0.009208,0.009208
10,1835.19,1.28492,0.95361,1.26062,0.70098,0.5061,0.56293,0.33959,1.1509,0.78578,1.09075,0.009109,0.009109,0.009109
11,2016.81,1.25765,0.9226,1.24072,0.741,0.51663,0.58053,0.35623,1.12071,0.75812,1.0735,0.00901,0.00901,0.00901
12,2199.36,1.24854,0.90734,1.23177,0.72255,0.52265,0.58352,0.35753,1.1086,0.75144,1.06297,0.008911,0.008911,0.008911
13,2381.09,1.23535,0.89016,1.22365,0.74557,0.52202,0.58977,0.36077,1.10017,0.74588,1.06005,0.008812,0.008812,0.008812
14,2563.77,1.21992,0.87473,1.21322,0.74892,0.536,0.60204,0.37332,1.08431,0.71293,1.0495,0.008713,0.008713,0.008713
15,2745.28,1.21066,0.86058,1.20654,0.77936,0.54137,0.61393,0.38193,1.07061,0.70636,1.04399,0.008614,0.008614,0.008614
16,2927.14,1.20171,0.85395,1.20163,0.75714,0.54409,0.6162,0.38442,1.06859,0.69964,1.04272,0.008515,0.008515,0.008515
17,3109.18,1.18749,0.83768,1.18725,0.77885,0.54107,0.6184,0.38664,1.05794,0.68212,1.03192,0.008416,0.008416,0.008416
18,3290.94,1.18113,0.82772,1.18734,0.78093,0.55608,0.6283,0.39783,1.03157,0.67134,1.0246,0.008317,0.008317,0.008317
