                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0632,                 1.0394,                0.97238,                 0.7969,                0.56629,                0.65139,                0.42717,                 1.0392,                0.70486,                0.93379,               0.070038,              0.0033291,              0.0033291
                      1,                 1.0173,                0.72424,                0.94057,                 0.7853,                 0.5967,                0.67544,                0.43835,                 1.0535,                0.70019,                0.94326,               0.039906,              0.0065306,              0.0065306
                      2,                 1.0592,                0.75283,                0.95377,                0.80118,                0.55479,                0.63956,                0.41468,                 1.0424,                0.73808,                0.93721,              0.0096419,                 0.0096,                 0.0096
                      3,                 1.0823,                0.76609,                0.96516,                0.79189,                0.57476,                0.65562,                0.42531,                 1.0457,                0.72072,                0.93775,               0.009406,               0.009406,               0.009406
                      4,                 1.0485,                0.72573,                0.95152,                0.78802,                0.58768,                0.67059,                0.43847,                0.99912,                0.68095,                0.92757,               0.009406,               0.009406,               0.009406
                      5,                 1.0139,                0.69119,                 0.9431,                0.82403,                0.59329,                0.68387,                0.45038,                 0.9803,                0.66047,                0.91799,               0.009208,               0.009208,               0.009208
                      6,                0.98994,                0.66558,                0.93642,                0.81554,                0.60707,                0.69014,                0.45113,                  1.005,                 0.6463,                0.92639,                0.00901,                0.00901,                0.00901
                      7,                0.97128,                 0.6476,                0.93034,                 0.8118,                0.61926,                0.70409,                0.46735,                0.97529,                 0.6294,                0.92294,               0.008812,               0.008812,               0.008812
                      8,                0.94916,                0.62888,                0.92579,                0.84668,                0.62533,                0.71522,                 0.4806,                0.92667,                0.60308,                0.90505,               0.008614,               0.008614,               0.008614
                      9,                0.93302,                0.61175,                0.91991,                0.84138,                  0.626,                0.71961,                0.48584,                0.92567,                0.60016,                0.90579,               0.008416,               0.008416,               0.008416
                     10,                0.92313,                0.60188,                0.91485,                0.83258,                0.62511,                0.71555,                0.48261,                0.92492,                0.59522,                0.90107,               0.008218,               0.008218,               0.008218
                     11,                 0.9067,                0.58772,                0.91051,                0.84444,                0.63093,                0.72764,                0.49219,                0.90968,                0.57883,                0.90154,                0.00802,                0.00802,                0.00802
                     12,                 0.9013,                0.58312,                0.90875,                0.83824,                0.64866,                0.73089,                0.49758,                0.88793,                 0.5778,                0.89428,               0.007822,               0.007822,               0.007822
                     13,                0.88919,                0.57063,                0.90487,                0.82799,                0.63524,                0.72341,                0.49004,                 0.8958,                0.57388,                0.89399,               0.007624,               0.007624,               0.007624
                     14,                0.87523,                0.56212,                0.90269,                0.84243,                0.65175,                0.73618,                0.50568,                0.87714,                0.55765,                0.88942,               0.007426,               0.007426,               0.007426
                     15,                0.87462,                0.55755,                0.90148,                0.83058,                0.65772,                 0.7446,                 0.5104,                0.88717,                0.55758,                0.89556,               0.007228,               0.007228,               0.007228
                     16,                0.86289,                0.54579,                 0.8979,                0.83677,                0.65186,                0.74141,                0.51152,                 0.8742,                0.55082,                0.88981,                0.00703,                0.00703,                0.00703
                     17,                0.85422,                0.53872,                0.89516,                0.84009,                0.64954,                 0.7393,                0.51546,                0.86365,                0.54255,                0.88838,               0.006832,               0.006832,               0.006832
                     18,                0.84744,                0.53245,                0.89229,                0.85086,                0.65062,                0.74594,                0.51762,                0.86287,                0.53973,                0.88653,               0.006634,               0.006634,               0.006634
                     19,                0.84531,                0.52977,                 0.8904,                0.83753,                0.65607,                0.74595,                0.51879,                0.87515,                0.53625,                0.88802,               0.006436,               0.006436,               0.006436
                     20,                0.83392,                0.52263,                0.88903,                0.85125,                0.65753,                0.74776,                0.52395,                0.85909,                0.53137,                0.88482,               0.006238,               0.006238,               0.006238
                     21,                 0.8285,                0.51534,                0.88698,                0.84507,                0.66503,                0.75395,                 0.5286,                 0.8511,                0.52424,                 0.8845,                0.00604,                0.00604,                0.00604
                     22,                0.82289,                0.50851,                0.88457,                0.83319,                   0.66,                  0.749,                0.52701,                0.83685,                0.52319,                 0.8787,               0.005842,               0.005842,               0.005842
                     23,                0.81719,                0.50477,                 0.8824,                 0.8287,                0.67012,                 0.7542,                0.53247,                0.84326,                0.51771,                0.88234,               0.005644,               0.005644,               0.005644
                     24,                0.81045,                0.50014,                0.88093,                0.84564,                0.66798,                0.75585,                0.53489,                0.83879,                 0.5195,                 0.8805,               0.005446,               0.005446,               0.005446
                     25,                0.80957,                 0.4967,                0.88143,                0.83153,                0.66533,                0.75075,                 0.5296,                0.83339,                0.51788,                0.88004,               0.005248,               0.005248,               0.005248
                     26,                0.79898,                0.49063,                0.87881,                0.83254,                0.67289,                0.75726,                 0.5356,                0.83229,                0.50885,                0.87677,                0.00505,                0.00505,                0.00505
